,Value,list
TF,Crp+IHF+PaaX,
reg_genes,12,['paaJ']
comp_genes,0,[]
both_genes,0,"['paaE' 'paaB' 'paaI' 'paaF' 'paaH' 'paaC' 'paaK' 'paaZ' 'paaA' 'paaD'
 'paaG']"
reg_genes2,0,
comp_genes2,11,
both_genes2,0,
