,-0.051812798793892965,-0.025906399396946483,0.0,0.02590639939694648,0.051812798793892965,0.07771919819083944,0.10362559758778592,0.12953199698473242,0.1554383963816789,0.18134479577862536,0.20725119517557186,0.23315759457251836,0.25906399396946483,0.28497039336641133,0.31087679276335783,0.3367831921603043,0.3626895915572508,0.3885959909541973,0.4145023903511437,0.4404087897480902
thresh,-0.06476599849236621,0.06476599849236621,6,,,,,,,,,,,,,,,,,
unreg,2,193,3183,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PaaX,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,14,125,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,27,399,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Crp,0,1,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PaaX, IHF, and Crp",0,0,0,0,1,1,0,0,0,3,0,2,1,0,2,2,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PaaX_genes,[],[],[],[],['paaY' 'paaX'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],"['tyrP' 'glcA' 'patA' 'hycF' 'nuoN' 'glcF' 'adiA' 'yjbG' 'rtcA' 'fimD'
 'hypE' 'sufD' 'fhlA' 'sufS']","['uspB' 'fimB' 'pspE' 'dmsC' 'ilvG' 'hycH' 'ihfB' 'nrfF' 'hycI' 'folA'
 'sufA' 'nrfG' 'pspD' 'pspG' 'prmC' 'hemA' 'ulaG' 'ilvA' 'carB' 'atoE'
 'glcE' 'prfA' 'cysI' 'dcuD' 'cysJ' 'uspA' 'rtcB' 'pspB' 'dps' 'narJ'
 'sufC' 'dmsB' 'ndh' 'pstC' 'nuoL' 'glnP' 'fliA' 'dppA' 'sufB' 'nuoM'
 'nuoJ' 'hipA' 'fimC' 'fliZ' 'fimG' 'sra' 'cysH' 'nrfB' 'nrfE' 'proV'
 'carA' 'glcB' 'ilvE' 'ssuE' 'ilvD' 'narH' 'pstS' 'hycE' 'nuoK' 'phoU'
 'proW' 'hycB' 'nuoA' 'hemF' 'dppC' 'nuoC' 'nrfC' 'glcG' 'proX' 'atoB'
 'atoD' 'hypD' 'sufE' 'fimI' 'narG' 'amiA' 'glnQ' 'nrfD' 'yadV' 'norW'
 'narI' 'pspC' 'nuoG' 'nuoB' 'nuoE' 'hycD' 'dppB' 'hycC' 'htrE' 'nrfA'
 'fimA' 'dmsA' 'atoA' 'ihfA' 'nuoF' 'ssuB' 'nuoH' 'fimF' 'dppF' 'hycA'
 'yeiL' 'pstB' 'fimH' 'osmE' 'yjbH' 'pstA' 'yjbF' 'ssuC' 'narK' 'hypC'
 'glnH' 'hycG' 'norV' 'ibpB' 'glcD' 'pspA' 'ilvM' 'fnr' 'hypA' 'yjbE'
 'ubiC' 'nuoI' 'dppD' 'tcyJ' 'hypB']",['hipB' 'ssuD' 'ompC' 'ubiA' 'ssuA' 'mtr'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
