,nhoA
Cr_1,-0.006816514451627196
Cr_2,0.0054515074275482646
Cr_3,0.02576758776907819
Cr_4,0.03332630927079911
Cr_5,0.029006512200118482
Cr_6,0.03157772705093384
Fe_1,-0.029124600232357217
Fe_2,-0.10723407664017597
Fe_3,-0.16015109698952387
Fe_4,-0.2274556692440011
Fe_5,-0.2731825634796898
Fe_6,-0.2859348846882752
Cd_1,0.008395163191946834
Cd_2,0.013676567421837931
Cd_3,0.02430802223548127
Cd_4,0.03622669327570993
Cd_5,0.03803794733813862
Cd_6,0.04389889474907678
Zn_1,-0.007524618318740861
Zn_2,-0.009987211510418748
Zn_3,0.016089304971634504
Zn_4,0.044545026004718234
Zn_5,0.03598861697380087
Zn_6,0.047706554458736464
Cu_1,0.0041746868895716415
Cu_2,0.003901956759647554
Cu_3,0.003230125219285372
Cu_4,-0.001716599543303517
Cu_5,-0.0038677508186265156
Cu_6,-0.0022245294574597093
Pb_1,0.0004581905924877887
Pb_2,0.006496351499338063
Pb_3,0.014086955917483376
Pb_4,0.02450951660264448
Pb_5,0.01885881995388313
Pb_6,0.027754540819765847
