,cdaR
Cr_1,-0.010417227069844236
Cr_2,-0.018632156402661405
Cr_3,-0.011330807836897688
Cr_4,-0.01288249876437539
Cr_5,0.0047391091576954964
Cr_6,0.047033335571419865
Fe_1,-0.07485114859838232
Fe_2,-0.12216664393586107
Fe_3,-0.13971874435251028
Fe_4,-0.15769608274818306
Fe_5,-0.16360129121364042
Fe_6,-0.1693048007041927
Cd_1,0.008170962173367071
Cd_2,0.02335669079814055
Cd_3,0.0451070469902479
Cd_4,0.06770133301317685
Cd_5,0.06859896815559753
Cd_6,0.07796719868138934
Zn_1,-0.01958979423973163
Zn_2,-0.04009676466110647
Zn_3,-0.04749004379087576
Zn_4,-0.05057194922362972
Zn_5,-0.0571179307087772
Zn_6,-0.06350388349478836
Cu_1,0.001378921625011569
Cu_2,-0.002903633242703274
Cu_3,-0.000127696394084117
Cu_4,-0.00021371994752317696
Cu_5,-0.0015140191272070994
Cu_6,-0.0024822792567688393
Pb_1,0.008661560013242033
Pb_2,0.021923773500532727
Pb_3,0.04214591872676023
Pb_4,0.04308753852049342
Pb_5,0.04713577946707543
Pb_6,0.06689019563427433
