,A,GalS,GalR,Crp
R2,,0.33526509710300656,0.04177314086491246,0.0364709108642538
xmin,,-6.4770625146,-4.2588815576,-9.852476477
xmid,,-3.0901450540217428,-0.5558087414435776,0.1665845515904288
xmax,,5.4821160384,2.4568659215,2.5388323397
ystart,,-6.308731821945744,0.5630164286402427,-0.01704568760035935
yend,,9.416818378603917,-4.465487011086716,-6.544899616027712
aat__00m_00s__1,0.9669265861,0.5809517996,-0.0378289206,0.0344951212
aat__00m_30s__1,-1.1204094269,-0.19002216160000002,-0.38528114300000005,0.1435731223
aat__01m_00s__1,-1.1779028365,-0.6905664267,0.0441022207,0.2534372822
aat__02m_00s__1,0.307411302,0.0644094613,-0.3688874374,0.283920339
aat__05m_00s__1,1.1134850271,-0.2190113982,-0.49016455070000003,0.3175329239
aat__10m_00s__1,2.4051160415,-0.0214763809,-0.6830606496,0.17602055360000002
aat__00m_00s__2,-1.6602707488,-0.4716536546,-0.0500561978,0.005256366
aat__00m_30s__2,-2.2270905068,-0.3177186897,0.1231404163,0.2819816342
aat__01m_00s__2,0.0481210381,0.1035593426,-0.029406513000000002,0.2801678667
aat__02m_00s__2,0.1482547836,-0.1768646654,-0.31636736320000003,0.4762089513
aat__05m_00s__2,1.0643369528,0.17252323560000002,-0.2954727328,0.5370175003000001
aat__10m_00s__2,2.5062179498,0.398425896,-0.27214210650000004,0.5086233319
aat__00m_00s__3,0.6933441627,-0.10929814500000001,0.0878851184,-0.039751487200000005
aat__00m_30s__3,-0.8400751356,-0.149956778,-0.0072724787,0.2905320638
aat__01m_00s__3,-1.0425934567,-0.4927539013,-0.0026193717,0.1859933018
aat__02m_00s__3,0.5382705505000001,0.055792924800000004,-0.2568221578,0.3699621097
aat__05m_00s__3,2.7663446171,0.8492318399000001,-0.1528490057,0.5483756585
aat__10m_00s__3,2.3804355528,0.5519800907,-0.40859073360000003,0.50143841
abx_mega__dmso-2__1,-0.8139290227,-0.2770996665,-0.9196932634,-0.4516798918
abx_mega__ery_dmso__1,1.6690057691,-0.7393938153,-0.2312725914,-1.8893970692000002
abx_mega__nal_naoh__1,-0.7942109246,-1.4607705717,-0.6466607248,-0.1701238306
abx_mega__dmso-5__1,-1.4600937912,0.1431361707,-0.5575634698,0.1340371706
abx_mega__rif_dmso__1,4.6714723405,0.560388085,-1.2748226549,-0.8477189713000001
abx_mega__novo_h2o__1,1.5964869193,-2.5034793435,-2.6265260664,0.1307715067
abx_mega__rach_dmso__1,0.2148430007,0.4847488586,-0.930328137,-0.2340068764
abx_mega__metro_dmso__1,-1.1353678987,-0.24224623,-0.6093358385000001,-0.33700626310000004
abx_mega__dmso-6__1,-2.173997771,0.2154704128,-1.0639372668,-0.2857852433
abx_mega__chl_h2o__1,5.3381936311,-0.4919276097,-0.7748135809000001,-2.9247054987
abx_mega__cst_h2o__1,-0.8529784351,-0.3424944062,0.7808872361,0.0899715865
abx_mega__tec_h2o__1,0.0868353774,-1.5809633974000001,0.3822808896,-1.6070723407
abx_mega__str_h2o__1,-0.5422278744,-3.1804734075,0.0397610008,-0.5390842036
abx_mega__ctx_h2o__1,0.7553254066,0.0691686464,0.4292091995,-0.0980165268
abx_mega__nal_naoh__2,-1.7291098697,-0.2088212263,-0.1681018114,0.2016373309
abx_mega__phos_h2o__1,-2.2065635651,0.0299897633,0.3702057495,-0.2490351859
abx_mega__dmso-5__2,-0.0848128863,0.5945800887,-0.8212894813,0.0411821817
abx_mega__polmyx_h2o__1,0.08674817530000001,0.7277068679,0.5718622125,0.0231238538
abx_mega__h2o-8b__1,-1.4133899949,-0.1840968333,0.7229215874,0.0476350313
abx_mega__h2o-6__1,-1.032992498,0.5436685797,0.4247250865,0.24713669740000002
abx_mega__thio_dmso__1,-0.4222294924,-0.7810361689,-0.3246522549,-1.5465123927
abx_mega__phos_h2o__2,-0.8243433126,0.31476621990000003,0.6657989942,0.2066153554
abx_mega__ctx_h2o__2,-2.4936910038,-0.4245287542,0.3977833423,-0.5157335737000001
abx_mega__lzd_dmso__1,1.0624243538,-0.6517432145000001,-0.2809660955,-1.8223907651
abx_mega__naoh-9__1,0.3791246263,-0.282595241,0.7261157759,0.36042412560000003
abx_mega__dox_dmso__1,2.3463256135,0.16872876080000002,-0.1580470894,-1.3002511837
abx_mega__phos_ethanol__1,0.1571300477,0.9348142122,0.7043518364,0.3379205155
abx_mega__teix_dmso__1,-0.8483011748,-0.3938962802,-1.4479589424000001,-0.6834405493
abx_mega__dmso-10__1,-0.8837478559,0.6164887990000001,0.35811752420000004,0.1656640608
abx_mega__van_dmso__1,3.9824316281,-0.8067219473,-0.3239140787,-0.9934080376000001
abx_mega__ramo_h2o__1,3.696578644,-0.2770969175,0.1285254837,-0.3443110079
abx_mega__tec_h2o__2,-0.26431446340000003,-0.6830994799,0.6718874178,-0.9407234058
abx_mega__h2o-7__1,-2.7109335334,-0.0889408836,0.7386069758,-0.0040549861000000005
abx_mega__cro_h2o__1,-2.8719105078,0.1205881516,0.2337524253,-0.1478341465
abx_mega__tric_ethanol__1,0.49828054330000005,-0.7491564395,0.5661628031,-0.1558928562
abx_mega__nor_naoh__1,-2.1611266678,-0.7341149074000001,0.1014816776,0.2764607147
abx_mega__teix_dmso__2,-0.9885377662,0.0274673367,-1.0081833521,-0.14661147630000002
abx_mega__nal_naoh__3,-1.3251053739,-0.3768481919,-0.2321585774,0.2201400917
abx_mega__novo_h2o__2,2.3317260375,-2.7150075414,-2.248909181,0.1874058842
