locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS08610,0.5235778794572191,Saci_1798,Saci_1798,hypothetical protein,General Function Prediction Only,Op1024,,https://www.uniprot.org/uniprot/A0A0U3GKI8
SACI_RS05165,0.2900689446056096,SACI_RS05165,,hypothetical protein,General Function Prediction Only,Op578,,
