,new_2599926_2600047_c
M9exp_1,10.2826
M9exp_2,9.2379
M9exp_3,10.0837
M9tran_1,10.909
M9tran_2,10.726
M9tran_3,11.3633
M9stat_1,14.0377
M9stat_2,13.6632
M9stat_3,13.2016
MG-0.1_1,11.6665
MG-0.1_2,10.96
MG-0.1_3,12.8345
MG-0.2_2,11.751
MG-0.2_3,12.0205
MG+5_1,9.6178
MG+5_2,9.7267
MG+5_3,10.4456
MG+10_1,10.2994
MG+10_2,9.9537
MG+10_3,8.3755
MG+15_1,9.7416
MG+15_2,10.8196
MG+15_3,10.3301
MG+25_1,10.4132
MG+25_2,9.6419
MG+25_3,10.4194
MG+45_1,10.3052
MG+45_2,8.4234
MG+45_3,10.0613
MG+60_2,10.2453
MG+60_3,8.4496
MG+90_2,8.9497
MG+90_3,10.5
MG+120_1,10.1095
MG+120_2,11.3198
MG+120_3,11.0355
MG+150_1,11.6853
MG+150_3,11.3361
GM-0.1_1,9.8029
GM-0.1_2,11.107
GM-0.1_3,11.2541
GM-0.2_1,9.4733
GM-0.2_2,12.0492
GM-0.2_3,10.8217
GM+5_1,10.5858
GM+5_2,10.4079
GM+5_3,10.723
GM+10_2,9.6598
GM+10_3,9.5084
GM+15_1,9.5745
GM+15_2,9.7128
GM+15_3,10.029
GM+25_1,10.6896
GM+25_2,10.2762
GM+25_3,10.3541
GM+45_1,9.8017
GM+45_2,8.9843
GM+45_3,8.745
GM+60_1,10.3226
GM+60_2,9.5147
GM+60_3,8.8386
GM+90_1,9.8817
GM+90_2,10.776
GM+90_3,10.7659
GM+120_1,8.317
GM+120_3,11.4874
GM+150_1,10.8079
GM+150_2,10.0977
GM+150_3,11.2071
BT_1,13.7238
BT_2,12.8808
B36_1,11.8266
B36_2,10.9149
B60_1,13.3909
B60_2,12.7666
S0_1,12.8882
S0_2,13.6217
S0_3,13.8614
S1_1,14.6231
S1_2,14.3813
S1_3,14.6095
S2_1,13.4166
S2_2,14.1782
S2_3,13.5182
S3_1,13.851
S3_2,13.8892
S4_1,14.7974
S4_2,14.2166
S4_3,14.1989
S5_1,14.4692
S5_2,14.0442
S5_3,14.7795
S6_1,14.0523
S6_2,10.5214
S6_3,14.2908
S6/t_1,13.7796
S6/t_2,10.2584
S6_4,12.688
S6_5,13.7418
S6_6,13.7963
S7_4,13.6233
S7_5,13.4985
S7_6,13.4445
S8_4,13.1449
S8_5,12.1312
G135_1,10.1338
G135_3,8.3558
G150_1,11.3145
G150_2,10.8243
G150_3,12.1309
G180_1,9.9899
G180_2,10.093
G180_3,9.5414
T-5.40H_1,10.9879
T-4.40H_1,10.6797
T-3.40H_1,10.7986
T-2.40H_1,10.4034
T-1.40H_1,10.7423
T-1.10H_1,11.0825
T-0.40H_1,10.8235
T0.0H_1,13.6937
T0.30H_1,14.3339
T1.0H_1,14.3122
T1.30H_1,14.49
T2.0H_1,13.8595
T2.30H_1,14.809
T3.0H_1,14.6102
T3.30H_1,14.5498
T4.0H_1,14.3026
T5.0H_1,13.1304
LBexp_1,10.9709
LBexp_2,9.9915
LBexp_3,9.8265
LBtran_1,14.5739
LBtran_2,14.6082
LBtran_3,13.9395
LBstat_1,15.0842
LBstat_2,14.9993
LBstat_3,14.7352
LBGexp_1,8.3903
LBGexp_2,9.3988
LBGexp_3,9.8709
LBGtran_2,9.7853
LBGtran_3,9.0227
LBGstat_1,7.7221
LBGstat_2,7.8225
LBGstat_3,8.1498
Mt0_1,10.6728
Mt0_3,12.3438
M0t45_1,11.1978
M0t45_2,10.3774
M0t45_3,10.8323
M0t90_1,13.5665
M0t90_2,15.0212
M0t90_3,14.4279
M40t45_1,12.3349
M40t45_2,14.4492
M40t45_3,10.452
M40t90_1,13.3754
M40t90_2,14.6178
M40t90_3,14.3229
dia0_1,11.8756
dia0_2,12.1387
dia0_3,10.823
dia5_1,12.2663
dia5_2,12.7958
dia5_3,12.8697
dia15_1,12.1248
dia15_2,10.8254
dia15_3,9.8894
C30_1,11.1222
C30_2,11.226
C90_1,10.7572
C90_2,9.8603
SMM_1,10.973
SMM_2,11.3874
SMM_3,11.1251
Salt_1,9.9715
Salt_2,10.2468
Salt_3,10.2201
M+G_1,11.5349
M+G_2,10.9679
M+G_3,10.5418
Glu_1,11.5352
Glu_2,11.6748
Glu_3,11.7034
Fru_1,10.8153
Fru_2,12.5658
Fru_3,11.4847
Mal_1,13.1679
Mal_2,12.6118
Mal_3,13.5584
G+S_2,14.1897
G+S_3,13.8888
Pyr_1,12.6013
Pyr_2,13.377
Pyr_3,12.9207
Gly_1,12.0935
Gly_2,13.3215
Gly_3,11.8244
Glucon_1,11.8102
Glucon_2,12.6152
Glucon_3,9.856
BI_1,11.9312
BI_2,11.2588
BC_2,14.0198
BC/t_1,13.5701
BC/t_2,14.4153
BC_1,13.7541
Sw_1,11.4896
Sw_2,12.2779
BMM_1,10.4808
BMM_2,10.2329
BMM_3,10.5088
Heat_1,11.607
Heat_2,11.2095
Heat_3,11.2065
Cold_1,11.7687
Cold_2,11.4839
Cold_3,11.112
Etha_1,9.5247
Etha_2,9.6319
Etha_3,9.6142
SMMPr_1,11.6511
SMMPr_2,11.8442
SMMPr_3,12.8402
HiTm_1,12.9252
HiTm_2,11.4837
HiTm_3,11.0602
LoTm_1,11.507
LoTm_2,11.4384
LoTm_3,11.4835
HiOs_1,11.6537
HiOs_2,10.8315
HiOs_3,11.6355
Oxctl_1,11.2419
Oxctl_2,11.3131
Oxctl_3,11.6168
Diami_1,9.908
Diami_2,10.1139
Diami_3,10.3948
Paraq_1,10.2542
Paraq_2,11.6245
Paraq_3,9.1336
H2O2_1,10.9201
H2O2_2,11.7716
H2O2_3,10.6042
HPh_1,10.7132
HPh_2,10.6008
HPh_3,11.2544
LPh_1,10.8248
LPh_2,10.6574
LPh_3,10.852
LPhT_1,9.9516
LPhT_2,10.0172
LPhT_3,10.1717
aero_1,11.1613
aero_2,9.8854
aero_3,10.3846
nit_1,11.8878
nit_2,11.7579
nit_3,11.6028
ferm_1,11.1506
ferm_2,11.3296
ferm_3,11.7218
