,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,3.33333360913457e-11,3.0898674748598975,3.0,0.0,0.0167198345,2.0,3.0814736297,4.0,-3.0981934641,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,3.7072855154333326,3.8760859736686726,3.0,1.0,5.4562712383,3.0,6.4006812707,5.0,-0.7350959627,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,23.78574560305,7.324834203699984,4.0,6.0,29.0432590463,20.0,26.482592441,40.0,26.6791270887,63.0,12.9380038362,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,-1.94514436425,1.0182153162678191,4.0,7.0,-1.3856458403,33.0,-1.1174760043,81.0,-3.3970475925,82.0,-1.8804080199,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,20.17006043755,8.682023203447757,4.0,8.0,14.1010223601,51.0,31.5136891961,65.0,22.3655071081,76.0,12.7000230859,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,16.2394631993,10.960607963641879,3.0,9.0,11.9533543572,22.0,8.0695704093,49.0,28.6954648314,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,14.65897019755,0.7809408996522085,2.0,10.0,14.1067615917,26.0,15.2111788034,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,12.674811325533334,3.1910115485727135,3.0,11.0,12.1311421966,54.0,9.7905608766,83.0,16.1027309034,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,22.4708536045,8.32301846375164,4.0,12.0,17.140307543,48.0,34.064501641,64.0,22.9014150353,78.0,15.7771901987,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,12.3573615994,2.135974777831933,4.0,13.0,10.7890638778,38.0,15.4557493385,67.0,11.1142932134,72.0,12.0703399679,,,,,,,,,,,,,,,,,,,,
