,pspE
Cr_1,0.007918020238318687
Cr_2,0.01810992630339121
Cr_3,0.027476947909281
Cr_4,0.03704019636909976
Cr_5,0.044825893593476496
Cr_6,0.050070166754013684
Fe_1,-0.004272904048466425
Fe_2,-0.023077226239846798
Fe_3,-0.051112736492035404
Fe_4,-0.08642413374479818
Fe_5,-0.1220898694137682
Fe_6,-0.15014738509098044
Cd_1,0.004147876117954199
Cd_2,0.008021152560430813
Cd_3,0.012202206173941115
Cd_4,0.016001681145539653
Cd_5,0.01599176272679384
Cd_6,0.023577411368831992
Zn_1,-0.003095558831361559
Zn_2,-0.008629049932136711
Zn_3,-0.013407591452624129
Zn_4,-0.015209380233705163
Zn_5,-0.014931408128020103
Zn_6,-0.014197652101549402
Cu_1,0.001997638323610755
Cu_2,0.005726927006355378
Cu_3,0.008368219168651098
Cu_4,0.010351321753829806
Cu_5,0.011234629997556268
Cu_6,0.013127530976855534
Pb_1,0.010216035483137991
Pb_2,0.02075245058819604
Pb_3,0.03539387501750397
Pb_4,0.04997084752513558
Pb_5,0.06154282948966666
Pb_6,0.07653508869951953
