,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
239,hu__hupAE34K_hupB_lag_pH7,0.03612880386666667,0.0859534474456149,3.0,750.0,-0.0613706299,751.0,0.10095304840000001,752.0,0.0688039931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,hu__hupAE34K_delhupB_lag_pH7,-0.016971266233333334,0.07715932862373652,3.0,753.0,-0.018909438,754.0,-0.0931432499,755.0,0.061138889200000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,hu__wt_lag_pH5,0.2617998301666667,0.16334971649214317,3.0,756.0,0.0746127426,757.0,0.3352967184,758.0,0.3754900295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,hu__delhupA_lag_pH5,0.44679470796666676,0.12385279011670267,3.0,759.0,0.4195325764,760.0,0.3388441314,761.0,0.5820074161000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,hu__delhupAhupB_lag_pH5,0.39069013046666673,0.14221250001610583,3.0,762.0,0.3127197713,763.0,0.3045159617,764.0,0.5548346584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,hu__hupAE34K_hupB_lag_pH5,0.25356586393333336,0.25669895741711246,3.0,765.0,-0.042631911200000004,766.0,0.3919429593,767.0,0.4113865437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,hu__hupAE34K_delhupB_lag_pH5,0.3272131204666667,0.26289304269194175,3.0,768.0,0.45187410110000004,769.0,0.0251797269,770.0,0.5045855334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,hyperpersistence__low_GFP,0.88064178685,0.19353728940395507,2.0,771.0,0.7437902571,780.0,1.0174933166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,hyperpersistence__wt,0.0,0.10821242680150912,2.0,772.0,-0.0765177408,779.0,0.0765177408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,hyperpersistence__high_GFP,0.87495834195,0.012110309330693358,2.0,773.0,0.8835216238,778.0,0.8663950601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,hyperpersistence__pth_mut,-0.32032946630000003,0.029934684920544935,2.0,774.0,-0.2991624476,775.0,-0.341496485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,hyperpersistence__metG_mut,-0.1658633444,0.1787951745956262,2.0,776.0,-0.039436064,777.0,-0.2922906248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,kan_efg__cpxAF218Y,0.05655685835,0.19961272979612782,2.0,781.0,-0.0845906565,782.0,0.1977043732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,kan_efg__cyaAN600Y,-0.1370279454,0.16129700567800162,2.0,783.0,-0.022973738900000002,784.0,-0.2510821519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,kan_efg__fusAA608E,-0.16262517930000003,0.3693494614232794,2.0,785.0,0.0985443295,786.0,-0.42379468810000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,kan_efg__fusAA608E_cpxAF218Y,-0.41358211525,0.08914448217315331,2.0,787.0,-0.3505474474,788.0,-0.4766167831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,kan_efg__fusAA608E_cyaAN600Y,-0.2433604638,0.005062819358050438,2.0,789.0,-0.23978050990000002,790.0,-0.2469404177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
