,ybaN
Cr_1,-0.0006087836896979264
Cr_2,0.01078401488529329
Cr_3,0.016316974830210898
Cr_4,0.02530276156615037
Cr_5,0.023278757975125727
Cr_6,0.035425165340980946
Fe_1,-0.03652090787754205
Fe_2,-0.07344726431366086
Fe_3,-0.1238317616714232
Fe_4,-0.18493077307101466
Fe_5,-0.25283122829910665
Fe_6,-0.3093784609891995
Cd_1,-0.003251057007799844
Cd_2,-0.002668146144386247
Cd_3,0.007971296002544941
Cd_4,0.02143073454111056
Cd_5,0.02215279675899997
Cd_6,0.027126858714374247
Zn_1,-0.12660607733172202
Zn_2,-0.14511998818338778
Zn_3,-0.13876751474724586
Zn_4,-0.11647877869439645
Zn_5,-0.09185286808700016
Zn_6,-0.06688264529035637
Cu_1,0.01001320013663358
Cu_2,0.028006764478869742
Cu_3,0.039600133428533635
Cu_4,0.05078067409883074
Cu_5,0.0607235540639065
Cu_6,0.06833614758957031
Pb_1,0.002906240029937305
Pb_2,0.011370677387624158
Pb_3,0.019924865461393916
Pb_4,0.031923863480078085
Pb_5,0.04556367386176082
Pb_6,0.05740489472066721
