,ilvC
Cr_1,-0.00827306874895457
Cr_2,-0.00973388772766772
Cr_3,-0.011934509092093159
Cr_4,-0.01917683303966253
Cr_5,-0.026250794768411263
Cr_6,-0.035799711871829926
Fe_1,-0.005414659088741734
Fe_2,-0.01256454584291965
Fe_3,-0.011170247046204672
Fe_4,-0.0010127849910732953
Fe_5,0.024758322586271763
Fe_6,0.05417800200545981
Cd_1,0.019649897644881027
Cd_2,0.017323848051895047
Cd_3,0.02433618291357242
Cd_4,0.06869180728939019
Cd_5,0.09268251067774648
Cd_6,0.07453333035440662
Zn_1,-0.00221307632658713
Zn_2,0.002599243630105713
Zn_3,0.011505231323928377
Zn_4,0.020060407084666155
Zn_5,0.01793409455125002
Zn_6,0.00713939026177778
Cu_1,0.005038210265511807
Cu_2,0.009095327777082112
Cu_3,0.015472239459048956
Cu_4,0.023708367936060137
Cu_5,0.037014527389672765
Cu_6,0.054105944652116815
Pb_1,0.010767940086364674
Pb_2,0.023891125164396
Pb_3,0.03148556340316036
Pb_4,0.03673124452429704
Pb_5,0.037566136856689365
Pb_6,0.04364845067840011
