locus,gene_weight,gene_name,gene_product,cog,regulator,YwzG,link
SP5448_09235,0.32042320360000004,SP5448_09235,PadR family transcriptional regulator,Transcription,"YwzG,Rgg,Rgg,MtsR_M49",True,
SP5448_09245,0.3161564821,SP5448_09245,membrane protein,Function unknown,"YwzG,Rgg,Nra_stationary_M49",True,
SP5448_09240,0.3050496593,XK27_06920,hypothetical protein,Function unknown,"YwzG,Rgg,Rgg,MtsR_M49",True,
SP5448_06245,0.1294045919,fruA,PTS fructose transporter subunit IIC,Carbohydrate transport and metabolism,"CcpA,FruR,CovR,CovR,CovR",False,
