,Value,list
TF,YwzG,
reg_genes,0,[]
comp_genes,4,['fruA']
both_genes,0,['ywzG' 'XK27_06920' 'SP5448_09245']
reg_genes2,3,
comp_genes2,0,
both_genes2,0,
