,A,YwzG
R2,,0.8805328181078619
xmin,,-2.7759440494
xmid,,-0.008757262021968415
xmax,,6.3927519696
ystart,,0.09191877049877843
yend,,21.30580292569184
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.9147327853,-0.24054859110000001
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,1.3528340308,0.3896994493
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,-0.4381012455,-0.1491508581
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,0.4508538338,-1.8620232321999999
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,0.9568967373,-1.5629588448
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-0.9168430710000001,-0.7562794871
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,0.16650148780000001,-1.6793316153000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,0.15297797300000002,-1.6785485726
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,-0.10759669300000001,-1.6441871787
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,0.5498374843,0.3067156803
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,0.15800877770000002,-0.23535975180000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,0.2034034679,-0.2103751908
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,-0.0760592227,-0.0247023694
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,-0.1395213729,0.2115610124
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-1.1394088186,-0.1289205946
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,1.0126637928,0.3978933692
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,0.0221132515,-0.5276019157
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-0.10404193910000001,-0.4026775842
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,0.8978103928000001,0.19279150450000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,0.596944861,0.0991617027
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,0.29894236890000003,0.22315587380000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,0.3003183083,0.3669931494
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,-0.9737586705000001,-0.5048986822
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-1.0742066307,-0.4644388132
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,1.8563051389,1.2456432058
