,yfcI
Cr_1,0.014671415409202462
Cr_2,0.028351802653678832
Cr_3,0.04179758103696028
Cr_4,0.04632761207568732
Cr_5,0.0555699652737914
Cr_6,0.059718560033530016
Fe_1,-0.01308294557302925
Fe_2,-0.03218736284394385
Fe_3,-0.04981893994977082
Fe_4,-0.0624632980468753
Fe_5,-0.06319353757110635
Fe_6,-0.05700976397302353
Cd_1,0.002170859388803907
Cd_2,0.003468929187086886
Cd_3,0.005606641848632386
Cd_4,0.009178222042415758
Cd_5,0.003938042841305262
Cd_6,0.0021551946830292565
Zn_1,-0.00139424925784592
Zn_2,-0.0070305544656965825
Zn_3,0.0011511804718473244
Zn_4,0.021548145857585143
Zn_5,0.0374732698603488
Zn_6,0.04935663348424656
Cu_1,-0.01408689201108854
Cu_2,-0.019233458438297255
Cu_3,-0.033771446287683686
Cu_4,-0.05013782157777029
Cu_5,-0.056273018973556056
Cu_6,-0.0695841041934788
Pb_1,0.0035499170263503326
Pb_2,0.010144366555773238
Pb_3,0.009150292947349287
Pb_4,0.014573130429471146
Pb_5,0.022176999343056208
Pb_6,0.030322491352018824
