locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
USA300HOU_RS12110,0.140446037,rpsZ,30S ribosomal protein S14 type Z,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005689000
USA300HOU_RS12125,0.13064298600000002,rplN,50S ribosomal protein L14,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005692000
USA300HOU_RS12115,0.130559587,rplE,50S ribosomal protein L5,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",GraS,https://aureowiki.med.uni-greifswald.de/SAUPAN005690000
USA300HOU_RS12095,0.130521351,rplR,50S ribosomal protein L18,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005686000
USA300HOU_RS12105,0.130395209,rpsH,30S ribosomal protein S8,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005688000
USA300HOU_RS12135,0.12990515900000002,rpmC,50S ribosomal protein L29,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005694000
USA300HOU_RS12120,0.129504942,rplX,50S ribosomal protein L24,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005691000
USA300HOU_RS12130,0.12498482100000001,rpsQ,30S ribosomal protein S17,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005693000
USA300HOU_RS12090,0.124984275,rpsE,30S ribosomal protein S5,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005685000
USA300HOU_RS12100,0.124325109,rplF,50S ribosomal protein L6,"Translation, ribosomal structure and biogenesis","adK,secY,rplO,rpmD,rpsE,rplR,rplF,rpsH,rpsZ,rplE,rplX,rplN,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW",,https://aureowiki.med.uni-greifswald.de/SAUPAN005687000
