,ydbD
Cr_1,-0.004260160662875584
Cr_2,-0.0060884934353673025
Cr_3,-0.005636939559053022
Cr_4,-0.004698920171461318
Cr_5,-0.0059169613039523035
Cr_6,-0.010357896446191443
Fe_1,-0.011602098250754408
Fe_2,-0.037406340275050916
Fe_3,-0.06743946244870808
Fe_4,-0.10324242582452747
Fe_5,-0.13327459555296314
Fe_6,-0.1570287595342838
Cd_1,-0.0027811600007408505
Cd_2,-0.004253348611399169
Cd_3,-0.0040610935807942885
Cd_4,-0.0029668281844203357
Cd_5,-0.006748086611757933
Cd_6,-0.005347095138092517
Zn_1,0.00018528371417439416
Zn_2,3.8977209665186434e-05
Zn_3,-0.0007168434258836946
Zn_4,0.0016682659348128065
Zn_5,0.003038352690376622
Zn_6,0.004709150799138362
Cu_1,-0.0018341995381407734
Cu_2,-0.002616374172470873
Cu_3,-0.0039374092885348004
Cu_4,-0.008368085575906467
Cu_5,-0.013608905742781978
Cu_6,-0.014874616222057687
Pb_1,0.00682028933026926
Pb_2,0.015208429542647022
Pb_3,0.02524999903786523
Pb_4,0.034597788421078975
Pb_5,0.047245299402702494
Pb_6,0.05888553232944092
