,A,OxyR
crp__delar1_glyc__1,1.7055294862000001,8.3727372549
crp__delar1_glyc__2,2.1859367930999998,8.5743689906
crp__delar1ar2_glyc__1,-1.3678009402,8.0776464715
crp__delar1ar2_glyc__2,-1.2538021648,8.1665331605
crp__delar1ar2_glyc__3,-1.0084610135,8.1889279814
crp__delar2_glyc__1,-0.1609538698,8.5159751378
crp__delar2_glyc__2,-0.1126214048,8.486269476
crp__delar2_glyc__3,-1.2040483514,8.4737716455
crp__delcrp_fru__1,0.08282825740000001,8.0687874658
crp__delcrp_fru__2,0.9773045632,8.234254762700001
crp__delcrp_fru__3,0.8182073768,8.0419534716
crp__delcrp_glc__1,0.1475895857,8.2828336431
crp__delcrp_glc__2,0.2307627512,8.2288625535
crp__delcrp_glc__3,0.930641189,8.3419229675
crp__delcrp_glyc__1,0.2586922158,8.3379116503
crp__delcrp_glyc__2,0.1702532837,8.2416535434
crp__delcrp_glyc__3,-0.5997090069000001,8.2244517559
glu__glu_ale3__1,0.4376100039,8.744174979
glu__glu_ale4__1,-1.3099296051,8.2486815296
glu__glu_ale5__1,-1.4493546399000001,7.8745570075
glu__glu_ale6__1,-4.4654232145,7.5727844727
glu__glu_ale8__1,-0.0114850342,8.7358259793
glu__glu_ale9__1,-0.8042276772,8.4216374971
glu__glu_ale10__1,0.1293431554,8.3282718104
42c__wt_42c__1,-2.0915053271,8.180270025
42c__42c_ale1__1,0.13952685580000002,8.7617519071
42c__42c_ale2__1,0.3976265875,8.0830847979
42c__42c_ale3__1,-0.8207151636000001,8.1222276677
42c__42c_ale4__1,2.8804889206,8.2769350928
42c__42c_ale5__1,-1.1331487623,7.6727403493
42c__42c_ale6__1,-0.008559194400000001,9.1374054716
42c__42c_ale8__1,4.3657406436,8.5736946684
42c__42c_ale9__1,-1.4363987244,8.1162013251
42c__42c_ale10__1,0.9303007404,8.4880530574
ssw__wt_ac__1,1.9813598877,6.9467427062
ssw__wt_glc__1,-1.7080678176,7.2053353745
ssw__wt_glyc__1,-0.2015444824,7.9230854089000005
ssw__wt_xyl__1,-1.5505042906000002,7.9447763673
ssw__glc_ale1__1,-0.4368024589,7.9767559617
ssw__glc_ale2__1,0.2821081891,8.0457037562
ssw__glc_ale3__1,-1.4295327525000001,8.378920785
ssw__glyc_ale1__1,-1.7697731722999999,8.2477477974
ssw__glyc_ale2__1,-2.6438642463,7.9097464655
ssw__xyl_ale1__1,-1.9243879180999999,7.7458233333
ssw__xyl_ale2__1,-2.5785207471,7.9824498586
ssw__xyl_ale3__1,-3.5585820256,7.5864645614
ssw__glc_ac_ac2__1,-1.3981570344,6.6962397227
ssw__glc_ac_glc1__1,-2.6729801593999998,8.118037105300001
ssw__glc_ac_glc2__1,0.3868887979,8.3881775238
ssw__glc_glyc_glc__1,0.9929823147000001,8.1211129138
ssw__glc_glyc_glyc__1,-0.507619617,7.7795532433
ssw__glc_xyl_glc__1,-2.5956223809,7.4919980468
ssw__glc_xyl_xyl__1,-1.9362808162,7.6850479395
pgi__glu4_delpgi__1,-1.0280286744,8.0940327982
