,mqo
Cr_1,-0.00022696525748353526
Cr_2,0.0011914297241634388
Cr_3,0.0007300342986808992
Cr_4,0.0007731064012699173
Cr_5,0.0003853755365300658
Cr_6,0.0011475591470442351
Fe_1,-0.008767948209301081
Fe_2,-0.032201345789192766
Fe_3,-0.06818943515873715
Fe_4,-0.1064565928321838
Fe_5,-0.1371411964733028
Fe_6,-0.16107221982764694
Cd_1,0.01003272640257007
Cd_2,0.021881923011600225
Cd_3,0.0246280002121333
Cd_4,0.03731750093000765
Cd_5,0.03654050758622873
Cd_6,0.03978760962813531
Zn_1,0.009556316209034237
Zn_2,0.016623209279843704
Zn_3,0.01825022543791733
Zn_4,0.015107450793568115
Zn_5,0.014756432556505203
Zn_6,0.013901549992999824
Cu_1,0.0054216139620596225
Cu_2,0.011852623258417
Cu_3,0.01998170341980312
Cu_4,0.024221702477874956
Cu_5,0.03240613985868765
Cu_6,0.04210243802203057
Pb_1,-0.0008486963135956942
Pb_2,-0.0031929299177297964
Pb_3,-0.002928686303780141
Pb_4,-0.003752985888264549
Pb_5,-0.009702686110078452
Pb_6,-0.010816914468923616
