,A,AcrR,OmpR,FliZ,ihfB,HdfR,rcsB,Crp,LrhA,QseB,Fur,YjjQ,hns
R2,,0.1517627538886419,0.09716736072743204,0.0870563604234893,0.05986453390347091,0.04414937910714467,0.02673303225665935,0.022864922174414937,0.01620335742348833,0.00795008419979537,0.007408576522355825,0.0034439019248548863,0.0018475278723603106
xmin,,-4.5997015363,-7.3287963615,-7.7701512291,-3.9178110457,-4.748585048,-8.931931499000001,-9.852476477,-3.3247193487,-3.6054769713,-9.893921886,-4.5406462042,-11.2828757996
xmid,,,0.2149105264259013,,-0.07524555556650238,-0.13364236888284903,0.4262790520275602,,1.3952006619652333,-0.1818566767934185,0.155000293995896,-0.7535075350411504,-1.7519068915576113
xmax,,3.5366428331,3.1898666866,7.4908694885,3.3245249795,3.2189309114,1.9262978510000002,2.5388323397,4.1084683799,2.8841314825,3.7262191745,6.5329067989,2.8974495703
ystart,,-4.422004778297019,-0.01748658802451092,-3.0106965861601394,0.013741641915167968,-0.012653802618592613,-0.27331421760187014,-3.902609355368264,-0.3206246372336381,-0.22138955356363557,-0.2808790802780284,-0.547686532816325,-0.6615670247600183
yend,,2.9452913641038183,-5.273267456254617,1.9267740866076855,-4.295177474051407,-3.5110527996596232,-4.363372191349305,0.5774725499791512,-4.3070100766727215,-1.639870388847752,-2.2309042260335095,0.7956364240611127,0.09463699048980762
aat__00m_00s__1,-0.9038003405,-0.2611089849,0.2497692515,-0.43579520190000004,-0.1131958483,-0.11287517050000001,0.0439989031,0.0344951212,-0.3701970079,0.1606540668,-0.019353005700000002,0.49749502640000004,-0.0832222629
aat__00m_30s__1,-0.2418761594,-0.059415883,0.28065399900000004,-0.5382080575,0.0772468121,0.0518580963,-0.0689313639,0.1435731223,-0.0394959323,-0.485114205,0.2305871583,-1.7349700337,-0.0215977273
aat__01m_00s__1,-1.2015448114,-0.1612054373,0.23529942180000002,-0.4823932846,0.0671979825,0.040723815100000005,-0.0594392778,0.2534372822,-0.11308683030000001,-0.0260713579,0.7275786303,-1.0014618639,0.014475031800000001
aat__02m_00s__1,-1.7012057422,-0.25445370240000004,0.2356387398,-0.16600564140000001,-0.031233225400000002,-0.0926111466,-0.0892396179,0.283920339,-0.19649693940000001,-0.3700855905,1.208661552,-0.8955509897,-0.069698208
aat__05m_00s__1,-0.6789800174,-0.11344849230000001,0.24470173650000002,-0.10728578300000001,0.0201842575,-0.3511623324,-0.0675196339,0.3175329239,-0.3123689116,-0.6804537178000001,1.1169083627,-0.4033268628,-0.28960489710000004
aat__10m_00s__1,-1.1912021078000001,-0.20858447160000002,0.040896054200000004,-0.5209684572000001,-0.1696861744,-0.7416869963,-0.1851855886,0.17602055360000002,-0.1193182383,-1.0924117282,1.0786663615,-0.40778974370000004,-0.2321548066
aat__00m_00s__2,0.1683408441,0.0144703751,-0.2747716412,0.045775212100000004,0.030994294500000002,0.0332766596,-0.0015479150000000002,0.005256366,0.2404908095,-0.3596090416,-0.0089366757,-0.17669907440000002,-0.0482583698
aat__00m_30s__2,-0.4385506604,-0.49497840930000003,0.093119,-0.5175268041000001,0.0539088152,-0.0023708205,0.0691710462,0.2819816342,0.417626418,0.0869116198,0.5340986209,-1.7349700337,-0.2218292502
aat__01m_00s__2,-1.7561879041,-0.23277313800000002,0.0729251304,-0.36882859300000004,0.1097352022,-0.027161463700000003,0.0444643333,0.2801678667,-0.6476753064,-0.024383475300000002,0.8046125807000001,-0.7167394956,-0.0773807522
aat__02m_00s__2,-1.7308300483,-0.0037492433000000003,0.3581703524,-0.1727245725,0.2340397233,-0.009681986200000001,-0.0030881652,0.4762089513,-0.501232039,-0.5190803460000001,1.2652089755,-0.7584714787,-0.0678102107
aat__05m_00s__2,-1.5972978136,-0.08021243060000001,0.4398804308,-0.2567759103,0.2579735379,-0.1409142752,0.0374448874,0.5370175003000001,-0.7333788680000001,-0.5107899615,0.9467520126000001,-0.8709210078,-0.1422065635
aat__10m_00s__2,-2.3229712306,0.1835954498,0.600781589,-0.7357566647,0.5504911606,-0.23157022840000002,0.1627360479,0.5086233319,-0.5985011759000001,-0.4195010932,1.0346662242,0.10184274630000001,0.2490992528
aat__00m_00s__3,0.7354594964000001,0.24663860980000002,0.0250023898,0.3900199898,0.0822015539,0.0795985109,-0.0424509881,-0.039751487200000005,0.1297061985,0.19895497480000002,0.028289681400000002,-0.3207959521,0.13148063270000002
aat__00m_30s__3,0.0666748945,0.019183170700000002,0.1892559365,0.6252236095,0.4189166854,0.1666675089,0.0232434189,0.2905320638,-0.2172132149,-0.0054675,0.43446716560000004,-0.45396675280000004,0.2910135497
aat__01m_00s__3,-0.4530778948,-0.46703423450000003,0.13355006560000002,0.5601646057,0.2529822276,0.034071554500000004,-0.0616001044,0.1859933018,-0.5875155594,-0.5012205908,0.6134168988,-0.9116021527,0.1734109775
aat__02m_00s__3,-1.3161766188000001,-0.0746520251,0.0493795467,0.9582005801000001,0.39341672120000004,0.0310487297,0.021274030700000002,0.3699621097,-0.13849937780000002,-0.3543467753,1.29823639,-0.7676541721,0.28443055370000003
aat__05m_00s__3,-1.5147798458000001,0.0427496826,0.252283246,0.5336201420000001,0.2673414086,0.0592545166,0.1997031051,0.5483756585,-0.7464978972,-0.5482477886,1.3466842796,-0.3117400723,0.0742654028
aat__10m_00s__3,-1.9260829058,0.14464178860000002,0.6175674846,0.18726486850000001,0.42329341260000003,-0.1616148833,0.1142784181,0.50143841,0.013636351000000001,-0.3939631589,1.1321686126000001,-0.26192119410000003,0.23033813420000002
abx_mega__dmso-2__1,-0.9577289115000001,-0.7818629666,0.5512269408,1.0998712491,2.297485246,1.4056778958,-0.3748344724,-0.4516798918,-0.9048031932,0.0567817628,0.15514151240000001,1.2218599619,-1.3295713452
abx_mega__ery_dmso__1,0.0817661745,0.3573595663,0.19084988490000002,-0.9365060833000001,-1.5657193052,-0.9238703682,-0.4798374756,-1.8893970692000002,-0.42956896180000004,-0.021815953000000003,0.4377684502,0.260032248,0.6661338201
abx_mega__nal_naoh__1,-1.1262486451,-2.9965127819,-0.1662381186,0.33206465820000003,1.171465281,1.6960921203,-0.8979488966,-0.1701238306,-1.4083112434,-0.2470882237,-0.4062446666,1.2242668441,-1.732107911
abx_mega__dmso-5__1,0.5255095994,-0.0017418751,0.17057843350000002,0.2775806115,0.294111116,0.4154203296,0.16777988130000002,0.1340371706,0.2228693978,0.5196814654,0.46838079790000003,0.38179578670000003,0.16751679260000002
abx_mega__rif_dmso__1,-0.1408986284,-0.1658216576,0.3753594524,-1.0805716956,0.9331627303000001,0.2262550379,-0.3408848131,-0.8477189713000001,0.2799403514,0.3956852038,0.6257311257,1.8977549879,-0.3087090213
abx_mega__novo_h2o__1,-5.3507136572,-2.7979642325,-0.2004741858,-1.0142291483,-1.5948301920999999,-3.1170022458,-1.5423708553000002,0.1307715067,1.0400052613,-1.5641343927,1.2222652304000001,-0.21821085910000002,-1.4290721084
abx_mega__rach_dmso__1,2.0323273327,-0.21273329940000002,-0.047666706600000004,-0.1238042664,-0.6969566792,-0.5242819591,-0.2757990406,-0.2340068764,-1.8089545607000002,-0.10813901370000001,0.18962784700000002,-0.5048711228,-0.1462527268
abx_mega__metro_dmso__1,-0.8895554452000001,-0.3684999189,0.1902554142,0.3529432879,-0.24371025970000001,-0.0570488632,0.1627652157,-0.33700626310000004,-0.0183249399,0.14048393950000002,1.1965334314,0.3568936432,-0.641073463
abx_mega__dmso-6__1,0.9035464925000001,-0.5522934947,0.2704939628,0.41633740340000003,0.3294536628,0.0667055922,0.035825386,-0.2857852433,0.4386819011,0.2795579156,0.2926141826,-0.6547319859,-0.0725217448
abx_mega__chl_h2o__1,-0.9807781965000001,-0.3446096321,-1.4364410385,-2.0176901103,-1.0253066066,-1.8756503906000002,-0.9490397289,-2.9247054987,-0.0343689552,-0.3787655963,0.14519100170000002,1.7793286206,0.4503702694
abx_mega__cst_h2o__1,0.42268236400000003,-0.223041928,0.0831805821,-0.1070576275,-1.1929652783,0.3442388685,0.0344037304,0.0899715865,0.0431470839,-0.22058347,-0.0246486099,-0.5177722068,0.1739432252
abx_mega__tec_h2o__1,-7.6034477509,-2.2474418251,0.9366768202,-1.5965448491,0.8805616572,0.4374705421,0.3679546261,-1.6070723407,-1.7806596529,0.2424755422,-1.6263367794999999,-0.0197563333,-0.6767263614
abx_mega__str_h2o__1,-2.4926952765,-1.9584424720000002,-0.0854510456,0.0879048102,1.9132335694,1.5162922144,-0.5018818561,-0.5390842036,-1.5778679812,1.0409304643,-0.8044302194,0.24530213620000002,-1.031702481
abx_mega__ctx_h2o__1,0.756505548,-0.1244776494,-0.1833382698,0.4449621881,-1.1279696429000001,0.2216005805,-0.3052663657,-0.0980165268,-0.4667737925,-0.4848295024,-0.0720290764,-0.6277716679,0.14700628870000002
abx_mega__nal_naoh__2,-0.2252383239,-0.3564530973,0.0680341922,-0.0508016138,-0.9605612867000001,0.7102396668000001,0.027996525,0.2016373309,-0.7647862667,-0.24588783090000002,0.463461864,-0.7405565993000001,-0.41701238430000004
abx_mega__phos_h2o__1,-1.7209238638,-1.1879352843,-0.7069581067,-0.1496204877,-0.7856317823000001,0.2023668951,0.1314202288,-0.2490351859,-0.4225686795,-0.4537267994,-0.5470965469,-1.3020260628,-0.1614027818
abx_mega__dmso-5__2,0.588164805,-0.5194596188,0.3107996135,0.1473289956,0.10447339950000001,0.48693562300000004,0.1336637714,0.0411821817,0.22492401680000002,0.4847103319,0.30733720410000004,-0.8568637443,0.3006681781
abx_mega__polmyx_h2o__1,0.3822246358,-0.6142455861,0.38625837220000003,0.09207659160000001,-1.1566112913,0.315630962,-0.2801840496,0.0231238538,-0.45353286270000004,-0.17192412410000002,-0.2169944251,-0.7693933063,-0.0815327794
abx_mega__h2o-8b__1,-0.5606746088,-0.2302767657,-0.0664744293,0.1460819966,-0.5151260577,0.2282583069,0.1618935164,0.0476350313,0.0729373361,-0.1857647114,-0.0938650437,-0.0037380967,0.0328928135
abx_mega__h2o-6__1,0.4489922764,0.24121677800000002,0.22516114,0.3555818577,-0.3442757495,0.2460820044,0.099489143,0.24713669740000002,0.2727280127,-0.313388003,0.2777125167,0.1501551875,-0.10642851340000001
abx_mega__thio_dmso__1,2.770780362,-1.8141532131,-0.6563530731,-0.5201763776,-2.3813583609,-1.6535465354,-0.7628962477,-1.5465123927,-1.1091840266,-1.4039897623,-0.7033619888,-0.4395364872,0.6464433037
abx_mega__phos_h2o__2,-1.1624125279,-0.8151140264000001,-0.0896789156,-0.3176717726,-1.0600417401,-0.11140213480000001,-0.1558562265,0.2066153554,0.26027101080000004,-0.5527851222,-0.2520653392,-0.7256589632,-0.0005954383
abx_mega__ctx_h2o__2,0.6325857733,-1.9260766826,0.27857363300000004,-0.5647734192,-2.7828060503,-0.41293746880000004,-0.6092416355,-0.5157335737000001,-1.2494074496,-1.4781169399,-0.7046253372,-0.6437461062000001,-0.7840740106
abx_mega__lzd_dmso__1,2.6933152447,-0.1664175372,-0.7353871311,-1.1278609141,-0.938501404,-0.7319951738,-0.4089830961,-1.8223907651,-0.1285411249,-0.4539115805,0.0317203545,0.26494816400000004,0.7946358242
abx_mega__naoh-9__1,0.3835012266,-0.2372005258,0.3609948972,0.23303915960000002,-1.1086632386,0.3726843388,0.1682583024,0.36042412560000003,-0.1475429833,0.4410728949,0.233701549,-1.262378037,-0.3573271824
abx_mega__dox_dmso__1,3.2867685913,-1.1670188756,0.0071867107000000005,-0.0072231261,-1.5186830960000002,-0.9235291953,0.0957641098,-1.3002511837,0.0341011712,-1.1214047468,-0.40180014550000004,-0.4199863211,1.536242647
abx_mega__phos_ethanol__1,-0.4087705656,-0.3688580233,0.0655605725,0.3273532034,-1.0835463994,0.11370842290000001,0.5898666498,0.3379205155,-0.10133974920000001,-0.6676139538,-0.2256123391,0.6036816392000001,-0.206662584
abx_mega__teix_dmso__1,-2.7474711967000003,-1.7853244006,-0.019153321100000002,-0.2306742386,-0.2108301915,-0.5178312672000001,1.1120882177,-0.6834405493,-1.2060618517,-0.1477138119,-0.0690208313,-2.0154097472,0.48643795360000003
abx_mega__dmso-10__1,0.0852095908,-0.6591606323,0.1080997051,0.17316698690000001,-1.1932094615,0.5556756497,0.2809527721,0.1656640608,-0.1358593005,-0.21369660410000002,0.0975378159,-0.7472586169000001,-0.5867027299
