,gltB
Cr_1,0.0002000261061581327
Cr_2,-0.003434507535523384
Cr_3,-0.00420769804271825
Cr_4,-0.0035054666080705514
Cr_5,-0.001974691580258869
Cr_6,0.00239397918980345
Fe_1,-0.03120302152142485
Fe_2,-0.04160140759761479
Fe_3,-0.03301181408466918
Fe_4,0.009916904489748609
Fe_5,0.07083401292937705
Fe_6,0.11739997060421074
Cd_1,-0.002639066179312657
Cd_2,0.0012346054036595233
Cd_3,0.00893573066244832
Cd_4,0.027043428390126908
Cd_5,0.03869435511645696
Cd_6,0.04199697447871572
Zn_1,-0.3211507015526744
Zn_2,-0.14118163356946714
Zn_3,-0.05068111891464279
Zn_4,-0.16989390515922906
Zn_5,-0.17858784480406475
Zn_6,-0.14725898107244015
Cu_1,0.006682721431304985
Cu_2,0.011305227763922515
Cu_3,0.016199351916390967
Cu_4,0.022785132972898012
Cu_5,0.02978783094947795
Cu_6,0.034248880529373915
Pb_1,0.0031456130107206212
Pb_2,0.01444525215745917
Pb_3,0.029300352892094726
Pb_4,0.050592473066481854
Pb_5,0.06251307007543327
Pb_6,0.07739020595169982
