,new_2263262_2263488
M9exp_1,7.6773
M9exp_2,7.6392
M9exp_3,7.4662
M9tran_1,7.8405
M9tran_2,7.702000000000001
M9tran_3,7.776
M9stat_1,7.8505
M9stat_2,7.9805
M9stat_3,7.6627
MG-0.1_1,7.0975
MG-0.1_2,6.5351
MG-0.1_3,7.2365
MG-0.2_2,6.6854
MG-0.2_3,7.4869
MG+5_1,7.6158
MG+5_2,6.7076
MG+5_3,7.7427
MG+10_1,7.7079
MG+10_2,7.2116
MG+10_3,7.2175
MG+15_1,7.5676
MG+15_2,7.8997
MG+15_3,7.4801
MG+25_1,7.8441
MG+25_2,7.2626
MG+25_3,7.5078
MG+45_1,8.0544
MG+45_2,6.8837
MG+45_3,7.6437
MG+60_2,7.6812
MG+60_3,7.4291
MG+90_2,7.2894
MG+90_3,7.5502
MG+120_1,7.9517
MG+120_2,8.5388
MG+120_3,8.2527
MG+150_1,7.7549
MG+150_3,7.7407
GM-0.1_1,6.8651
GM-0.1_2,6.7932
GM-0.1_3,7.4508
GM-0.2_1,7.367000000000001
GM-0.2_2,7.5574
GM-0.2_3,6.9907
GM+5_1,7.0057
GM+5_2,6.3867
GM+5_3,7.3543
GM+10_2,6.6563
GM+10_3,6.9233
GM+15_1,7.0939
GM+15_2,7.1003
GM+15_3,7.2793
GM+25_1,7.4108
GM+25_2,7.2769
GM+25_3,7.523
GM+45_1,7.8235
GM+45_2,6.7383
GM+45_3,7.7497
GM+60_1,8.21
GM+60_2,7.6759
GM+60_3,7.7347
GM+90_1,8.4244
GM+90_2,8.719
GM+90_3,8.5762
GM+120_1,7.5315
GM+120_3,8.7359
GM+150_1,8.3677
GM+150_2,6.9369
GM+150_3,8.3243
BT_1,7.3226
BT_2,7.1646
B36_1,6.7506
B36_2,6.8521
B60_1,7.3113
B60_2,7.4266
S0_1,6.8653
S0_2,7.2481
S0_3,7.5268
S1_1,7.3035
S1_2,7.3216
S1_3,7.1116
S2_1,8.1079
S2_2,7.7062
S2_3,7.7243
S3_1,7.2807
S3_2,6.8502
S4_1,7.354
S4_2,6.8703
S4_3,7.0024
S5_1,6.9812
S5_2,6.9693
S5_3,7.0556
S6_1,7.0760000000000005
S6_2,7.4872
S6_3,6.9234
S6/t_1,8.0612
S6/t_2,7.4778
S6_4,7.5898
S6_5,8.0302
S6_6,7.577000000000001
S7_4,9.3136
S7_5,9.3247
S7_6,9.7205
S8_4,8.6056
S8_5,9.6893
G135_1,7.7183
G135_3,7.5485
G150_1,7.4109
G150_2,6.8816
G150_3,7.472
G180_1,7.2417
G180_2,6.9705
G180_3,7.3953
T-5.40H_1,6.9239
T-4.40H_1,7.1298
T-3.40H_1,7.0521
T-2.40H_1,7.067
T-1.40H_1,7.0898
T-1.10H_1,6.7541
T-0.40H_1,6.5275
T0.0H_1,6.7597
T0.30H_1,7.6159
T1.0H_1,7.2996
T1.30H_1,7.9729
T2.0H_1,8.0124
T2.30H_1,7.6046
T3.0H_1,7.3359
T3.30H_1,7.6088
T4.0H_1,7.2878
T5.0H_1,7.5701
LBexp_1,7.1432
LBexp_2,6.9067
LBexp_3,7.405
LBtran_1,7.7757
LBtran_2,7.5433
LBtran_3,7.766
LBstat_1,7.7115
LBstat_2,7.9671
LBstat_3,7.726
LBGexp_1,6.9698
LBGexp_2,7.0436
LBGexp_3,7.0722
LBGtran_2,7.6215
LBGtran_3,7.4792
LBGstat_1,7.5828
LBGstat_2,7.358
LBGstat_3,7.767
Mt0_1,7.1837
Mt0_3,6.6599
M0t45_1,7.2648
M0t45_2,7.1877
M0t45_3,7.3082
M0t90_1,7.5857
M0t90_2,7.3524
M0t90_3,7.8297
M40t45_1,8.2515
M40t45_2,7.8953
M40t45_3,7.7184
M40t90_1,11.0476
M40t90_2,9.0718
M40t90_3,12.0924
dia0_1,7.1370000000000005
dia0_2,7.1503
dia0_3,6.8272
dia5_1,7.4309
dia5_2,7.4702
dia5_3,6.8851
dia15_1,7.1042
dia15_2,7.1208
dia15_3,7.3585
C30_1,9.338
C30_2,9.3989
C90_1,9.8561
C90_2,9.7474
SMM_1,7.2851
SMM_2,7.148
SMM_3,7.2006
Salt_1,7.3381
Salt_2,7.2641
Salt_3,7.2836
M+G_1,9.3458
M+G_2,7.9060000000000015
M+G_3,7.9906
Glu_1,8.4378
Glu_2,7.7067
Glu_3,7.8991
Fru_1,7.2654
Fru_2,7.9437
Fru_3,7.6872
Mal_1,7.9251
Mal_2,7.9681
Mal_3,8.0037
G+S_2,8.141
G+S_3,8.4983
Pyr_1,8.1093
Pyr_2,8.0367
Pyr_3,8.1593
Gly_1,7.903
Gly_2,8.1452
Gly_3,8.1691
Glucon_1,8.6106
Glucon_2,8.004
Glucon_3,8.1087
BI_1,6.8284
BI_2,6.587999999999999
BC_2,6.8369
BC/t_1,7.3754
BC/t_2,8.7318
BC_1,7.0656
Sw_1,6.6237
Sw_2,6.6567
BMM_1,9.3206
BMM_2,9.098
BMM_3,9.3737
Heat_1,9.8247
Heat_2,8.7436
Heat_3,9.2245
Cold_1,9.8346
Cold_2,9.6714
Cold_3,9.3416
Etha_1,9.8959
Etha_2,9.6744
Etha_3,9.9437
SMMPr_1,6.683
SMMPr_2,7.103
SMMPr_3,7.2862
HiTm_1,7.4462
HiTm_2,7.1226
HiTm_3,7.5263
LoTm_1,7.9851
LoTm_2,8.0002
LoTm_3,7.9015
HiOs_1,7.8779
HiOs_2,7.8908
HiOs_3,7.7639
Oxctl_1,7.8939
Oxctl_2,7.837999999999999
Oxctl_3,7.6712
Diami_1,7.4489
Diami_2,7.7566
Diami_3,7.9045
Paraq_1,7.6246
Paraq_2,7.6845
Paraq_3,7.2178
H2O2_1,7.1967
H2O2_2,7.5452
H2O2_3,7.5814
HPh_1,8.6996
HPh_2,8.9035
HPh_3,9.5421
LPh_1,9.1534
LPh_2,10.0326
LPh_3,9.7341
LPhT_1,7.75
LPhT_2,7.5234
LPhT_3,7.6022
aero_1,7.2938
aero_2,7.4827
aero_3,7.4697
nit_1,8.0182
nit_2,8.0904
nit_3,7.6806
ferm_1,7.5276
ferm_2,7.1959
ferm_3,7.4101
