,Value,list
TF,ntrC+rpoN,
reg_genes,48,"['glnH' 'rseA' 'potI' 'glnP' 'rseC' 'hisM' 'pspG' 'nac' 'hisQ' 'glnQ'
 'potH' 'rseB' 'relA' 'hisJ' 'potG' 'rpoE']"
comp_genes,56,"['ynfM' 'asnB' 'lhgO' 'yqeC' 'asr' 'ygeW' 'asnA' 'yhdW_2' 'gabP' 'yeaR'
 'gltI' 'cbl' 'prpB' 'yeaE' 'chaC' 'hypA' 'rcnA' 'csiD' 'mgtA' 'yedL'
 'yqeB' 'mgrB' 'zraP' 'fdhF']"
both_genes,32,"['glnA' 'rutE' 'rutB' 'astB' 'rutC' 'astE' 'glnG' 'ddpD' 'patA' 'amtB'
 'hisP' 'yhdZ' 'yhdX' 'rutD' 'astD' 'rutF' 'argT' 'rutG' 'ddpF' 'potF'
 'yeaH' 'astA' 'glnL' 'astC' 'yeaG' 'glnK' 'ddpC' 'rutA' 'ddpA' 'ddpB'
 'ddpX' 'yhdY']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,15,
comp_ops,31,
both_ops,10,
