,A,ntrC,rpoN
R2,,0.514006447237371,0.04764432315560363
xmin,,5.08396460542069,7.724269245938691
xmid,,,
xmax,,9.64135957981038,9.46060647960794
ystart,,-10.271767493135627,-4.8237877133357685
yend,,23.521395948107674,6.741909306317751
control__wt_glc__1,-0.321170245434,7.338495227520321,8.74653930805067
control__wt_glc__2,0.321170245434,7.53421998857244,8.74482218382277
fur__wt_dpd__1,0.031089837080900004,6.35566901295663,9.08350379165083
fur__wt_dpd__2,-0.113389148448,6.38223914576971,9.10622805132491
fur__wt_fe__1,1.33656430796,7.55043226946071,8.56153484963492
fur__wt_fe__2,1.27737532625,7.391538367186429,8.60162087991084
fur__delfur_dpd__1,-0.8420102133249999,6.24188418882429,9.043596649762401
fur__delfur_dpd__2,-1.78596848583,6.207933046598701,9.06275722400032
fur__delfur_fe2__1,-0.8967306291320001,6.659257551051019,8.698997820048389
fur__delfur_fe2__2,-1.0784596088200002,6.52238642956722,8.66948892483523
acid__wt_ph5__1,-0.501351648583,7.22035202195213,8.6816589001359
acid__wt_ph5__2,-0.7012576192899999,7.193497698900661,8.70320767678876
acid__delgadx_ph5__1,-1.2168467861399999,7.25686514312099,8.74226260850194
acid__delgadx_ph5__2,-0.414019309697,7.33806676586229,8.71471157370475
acid__delgadw_ph5__1,-1.0279288645,7.13389825924994,8.62691326952801
acid__delgadw_ph5__2,-0.349787757213,7.116321249240429,8.6910647067446
acid__delgade_ph5__1,-0.546722938495,7.23280798833396,8.67294559198926
acid__delgade_ph5__2,0.163796083046,7.2786549080703695,8.705660417900809
oxidative__wt_pq__1,1.4035473929799998,6.90384638146353,8.58305670260011
oxidative__wt_pq__2,2.22837429813,6.95875513335615,8.59585917489953
oxidative__deloxyr_pq__1,0.6147315026210001,6.77392382942937,8.58161414392503
oxidative__deloxyr_pq__2,0.628839433307,6.795905291668181,8.5576919411833
oxidative__delsoxr_pq__1,0.375632934257,6.82580910403579,8.61028445690575
oxidative__delsoxr_pq__2,0.489840473095,6.81565267031222,8.6676747772973
oxidative__delsoxs_pq__1,1.77957084363,7.05630987982293,8.754552738595
oxidative__delsoxs_pq__2,2.6273411542200003,7.1995808422961,8.67182930034499
nac_ntrc__wt_csn__1,37.978400436,8.470211980285269,8.98473102433188
nac_ntrc__wt_csn__2,38.0205641162,8.46480111181881,8.98232832317114
nac_ntrc__wt_cytd__1,39.7012052117,9.453029769663301,8.81657045671302
nac_ntrc__wt_cytd__2,39.6243305629,9.46929814583024,8.78470998000987
nac_ntrc__wt_gln__1,37.304231152,9.60913808892829,8.998125449240892
nac_ntrc__wt_gln__2,37.3171747386,9.586574043786289,8.84545042875515
nac_ntrc__bw_delnac_csn__1,38.9889408769,8.643835607886981,9.059675794098519
nac_ntrc__bw_delnac_csn__2,40.9561532921,8.89266199736074,9.24681112322467
nac_ntrc__bw_delnac_cytd__1,40.4519690532,9.34558958638994,8.63846290515919
nac_ntrc__bw_delnac_cytd__2,40.6783765233,9.248141843224381,8.67189785442089
nac_ntrc__bw_delnac_gln__1,37.3560481997,9.64135957981038,8.78945573043612
nac_ntrc__bw_delnac_gln__2,37.434246651399995,9.59796127402203,8.82495864586449
nac_ntrc__bw_delnac_nh4__1,-1.8175901298400003,7.09851572261076,8.47427378307518
nac_ntrc__bw_delnac_nh4__2,-1.8207373178200001,7.07838458686514,8.34300381774896
misc__wt_no_te__1,-0.48731063123,6.43065228594458,8.72531145809152
misc__wt_no_te__2,-0.273512982613,6.88607007802973,8.734571809408822
misc__bw_delcbl__1,-0.987359947615,6.97263765044138,8.495704707803151
misc__bw_delcbl__2,-1.00527726902,6.8824002388768495,8.568831437377009
misc__bw_delfabr__1,-0.900138439321,6.88334148573961,8.54038960978185
misc__bw_delfabr__2,-0.916757522998,6.89756525157774,8.50433128322914
misc__bw_delfadr__1,-1.72792410949,6.580387364050111,8.54208094305535
misc__bw_delfadr__2,-1.13318021346,6.5647556044066295,8.63031631616126
misc__nitr_031__1,28.646218668099998,9.23169617337647,8.73986096411345
omics__wt_glu__1,-1.85913269668,6.8135806778949,9.05245187666283
omics__wt_glu__2,-1.72957437586,6.894329807461821,9.11308575272008
omics__wt_gly__1,5.213111441730001,7.82761039264071,8.7420380100068
omics__wt_gly__2,5.60771358786,7.88297466358775,8.737056165741759
omics__wt_thr__1,3.85182647255,7.76185978785686,9.39536684503106
omics__wt_thr__2,2.91336113728,7.691576089633,9.46060647960794
omics__bw_ac__1,1.5059906296099999,6.131147192483059,8.81242877363093
omics__bw_ac__2,1.74784410807,6.120329797267081,8.73729935442061
omics__bw_fum__1,-0.9219464741590001,6.15825712007805,8.58203544617098
omics__bw_fum__2,-1.3543810172400002,6.3105294232322295,8.51728764437501
omics__bw_glc__1,-1.3140909355,7.16813100222217,8.818818816160821
omics__bw_glc__2,-1.20554236626,7.18650117605785,8.78459898755085
omics__bw_pyr__1,-1.63973564783,6.06105119165834,8.81725964948368
omics__bw_pyr__2,-1.15620252269,6.303380808760361,8.80116793282276
ompr__wt_nacl__1,-0.298829340841,6.966003004474651,9.04701327100198
ompr__wt_nacl__2,-0.269633844192,6.8619145658180996,9.03921477286066
ompr__bw_delompr_nacl__1,-1.42478083072,7.0443334775193795,8.849350607406311
ompr__bw_delompr_nacl__2,-0.625157067045,6.963221108190741,8.961158203920231
minspan__wt_ade__1,-4.950127716580001,5.16063344753058,8.44616932459742
minspan__wt_glc__1,-1.85156184661,6.288905361190929,8.396103768603231
minspan__wt_glc__2,-3.1720007210000003,6.256878341507781,8.33351226997712
minspan__wt_glc__3,-2.7925111026700002,6.37131773811483,8.35273109057302
minspan__wt_glc__4,-3.06175983878,6.4572011460965095,8.46315287777923
minspan__wt_glc_anaero__1,-5.54532354689,5.946910200588679,8.63526923860536
minspan__wt_glc_anaero__2,-6.48974203362,5.77394572005706,8.59258153555978
minspan__wt_trp__1,-2.77511248722,6.1593626213039006,8.62582434088757
minspan__bw_delcra_glc__1,-2.83791897376,5.97901132203201,8.53414730879266
minspan__bw_delcra_glc__2,-3.4347965566100003,6.00554436692391,8.61719598484268
minspan__bw_delcra_trp__1,-2.3229004562,7.38880160861868,8.718650592112809
minspan__bw_delmntr__1,-1.04264847275,6.5238552158781395,8.751125608917611
minspan__bw_delnac_ade__1,-3.9561344296199996,5.797835134133379,8.59987122952981
minspan__bw_delnac_glc__1,-0.0930682997669,6.19637472582528,8.351792678542619
cra_crp__wt_ac__1,2.12203085302,5.945246610815509,8.80483772437353
cra_crp__wt_ac__2,3.30715090445,5.99142061181325,8.78030770124619
cra_crp__wt_fru__1,1.48512997259,6.25138452549576,8.887871781157699
cra_crp__wt_fru__2,-0.0784344441614,6.138820238888989,8.94415019927116
cra_crp__delcra_ac__1,1.82149457656,5.8835464373790805,8.30866935889348
cra_crp__delcra_ac__2,1.05727577041,5.96658765207651,8.26334155909498
cra_crp__delcra_fru__1,-2.2896710588599998,7.028819257751691,8.55155249422768
cra_crp__delcra_fru__2,-1.62421209481,7.089470677702769,8.55675994196046
cra_crp__delcra_glc__1,-1.1652338327200003,6.97446998738627,8.47210307428139
cra_crp__delcra_glc__2,-0.7144961220630001,7.11011846211043,8.417659633038861
rpoB__wt_031__1,20.6328909527,8.73727492584131,8.5644816637926
rpoB__wt_044__1,19.5228511273,8.77142561009321,8.77265228798583
