,ABUW_5010
SRX3737100,0.1784527769
SRX3737101,-0.027910544500000002
SRX3737103,0.24223909170000002
SRX3737104,0.0462429934
SRX3737105,0.00011444970000000001
SRX3737106,-0.0157416409
SRX3737107,-0.0306158023
SRX3737108,-1.003068667
SRX3737109,-1.1510316478
SRX3737110,-0.2364266186
SRX3737111,-0.9029122975
Abaum_0017,-0.0724494146
Abaum_0018,-0.5216826467
Abaum_0019,-0.5179100193
Abaum_0020,-2.0735854697
Abaum_0021,-0.2063700974
Abaum_0022,-0.1366078387
Abaum_0023,0.0724494146
Abaum_0024,-1.914236376
Abaum_0025,-0.6278241959
Abaum_0026,-0.2024118745
SRX3141471,-0.4163358894
SRX3141472,-0.3245176018
SRX3141473,0.19873878820000002
SRX3141474,0.1257788137
SRX3141475,-0.7732979443
SRX3141476,-0.1719161199
SRX3141477,-0.246827493
SRX3141478,-0.5738324005000001
SRX3141479,-0.42464362450000004
SRX8944518,0.0291653545
SRX8944519,-0.2125699939
SRX8944520,-0.09387823740000001
SRX8944521,-0.2812216013
SRX8944522,0.0647128829
SRX8944523,0.7886694944
SRX5930997,0.18119337200000002
SRX5930998,-0.1151878999
SRX5930999,-0.0660054721
SRX5931001,-1.2785050575999999
SRX5931002,-1.5654858379
SRX4488546,0.8956243036
SRX4488547,-0.2359927454
SRX4488548,-0.2036189723
SRX4488549,-0.6596315583
SRX4488550,0.2788779638
SRX4488551,0.5843069698000001
SRX4488552,-0.34048076380000003
SRX4488553,-0.6993953221
SRX4488554,0.6492400698
SRX4488555,-0.8671421939
SRX4488556,0.5842201751
SRX4488557,0.34553314700000004
SRX2568047,0.5178400079000001
SRX2568048,0.3923887816
SRX2568049,1.4242124662
SRX2568050,1.7247355075000002
SRX2568051,1.4761433169
SRX2568052,1.8199966094
SRX2568053,2.0799863024
SRX2568054,0.9328685829000001
SRX2568055,0.23717566510000002
SRX2568056,1.7019133262000001
SRX2568057,0.8970030692000001
SRX2568058,1.6945956005
SRX2568059,-0.1278642543
SRX2568060,-0.07735915730000001
SRX2568061,-0.0602821325
SRX2568062,0.33981169450000004
SRX2568063,-0.16962969890000001
SRX2568064,-0.1701819957
Abaum_0001,-0.1365037146
Abaum_0002,-1.3159862902000001
Abaum_0003,-0.8733854538
Abaum_0004,-0.745874286
Abaum_0005,-0.41806109010000003
Abaum_0006,-0.5106975966
Abaum_0007,-0.2044119859
Abaum_0008,-0.9953384761
Abaum_0009,-0.9156890050000001
Abaum_0010,-0.5704196781
Abaum_0011,0.031015938200000003
Abaum_0012,-0.031015938200000003
Abaum_0013,-0.18428654290000002
Abaum_0014,-0.7046062120000001
Abaum_0015,-0.1087512795
Abaum_0016,-0.4600554021
ERX1221046,0.1268809397
ERX1221048,-0.048214233700000005
ERX1221049,-0.078666706
ERX1221050,0.0910754094
ERX1221052,0.1931195907
ERX1221053,-0.0079006166
ABNM035,-0.43221099
ABNM036,0.43221099
ABNM037,0.5646522900000001
ABNM038,0.0485674
ABNM041,-0.3945028
ABNM042,-0.15031746
ABNM019,-0.1981958722
ABNM020,0.1981958722
ABNM021,-0.4502335516
ABNM022,0.4925922086
ABNM023,-0.4528770643
ABNM024,-0.43867728840000003
ABNM025,0.5252353069
ABNM026,0.43338860560000003
ABNM027,0.123977078
ABNM028,-0.123977078
ABNM029,-0.0084355549
ABNM030,-0.7749972382
ABNM031,-0.8207137773000001
ABNM032,-0.6898711271
ABNM033,-0.8601198055
ABNM034,0.2211747016
ABNM001,0.3996691886
ABNM002,-0.3996691886
ABNM003,-0.1409927855
ABNM004,0.1724659207
ABNM005,-1.2316608167
ABNM006,-0.4941051375
ABNM007,-0.2002583051
ABNM008,-0.6296443148
ABNM009,-0.1297732589
ABNM010,0.1769935362
ABNM043,0.01202289
ABNM044,-0.01202289
ABNM045,-0.26666371
ABNM046,-0.33537144
ABNM047,1.77022945
ABNM048,1.80782783
ABNM011,0.0674723973
ABNM012,-0.0674723973
ABNM013,0.1037909457
ABNM014,-0.0607374914
ABNM015,0.6957068012000001
ABNM016,-0.6219440628
ABNM017,-0.44309801130000004
ABNM018,0.11223497310000001
