,yidL
Cr_1,-0.010201473054102907
Cr_2,-0.013246759633311598
Cr_3,-0.02116729429307116
Cr_4,-0.021055134135490032
Cr_5,-0.013289327132545402
Cr_6,-0.03602544576208913
Fe_1,-0.02598010894204684
Fe_2,-0.06784310458111041
Fe_3,-0.10137216097787004
Fe_4,-0.16491028239511998
Fe_5,-0.21065308044988426
Fe_6,-0.24086557360530664
Cd_1,0.001631302049713349
Cd_2,0.007982294488880139
Cd_3,0.01420193341998959
Cd_4,0.01743073240412745
Cd_5,0.015350976532627987
Cd_6,0.02190900823719574
Zn_1,-0.002176219529721781
Zn_2,-0.0221687682595656
Zn_3,-0.024849503192068318
Zn_4,-0.017461559603830328
Zn_5,-0.019779825164233482
Zn_6,-0.02351224300883016
Cu_1,0.008508272494981891
Cu_2,0.01606161579853313
Cu_3,0.025803915733322826
Cu_4,0.03761933724854465
Cu_5,0.04741873690968642
Cu_6,0.059933493625339174
Pb_1,0.01162634828659916
Pb_2,0.028987086132014638
Pb_3,0.03319582459906386
Pb_4,0.02815167237980924
Pb_5,0.03720112994503473
Pb_6,0.04380163901471552
