,yfhB
Cr_1,-0.0006145873268033894
Cr_2,-0.002366750688739204
Cr_3,0.00650550767713856
Cr_4,0.01783027236564099
Cr_5,0.0222530627709886
Cr_6,0.02317719716680074
Fe_1,-0.015277064380896902
Fe_2,-0.029504204623085825
Fe_3,-0.028983166366205987
Fe_4,-0.024120450511047036
Fe_5,-0.01231572183266242
Fe_6,-0.0168009121121753
Cd_1,0.0033184412250529074
Cd_2,0.004489454256514977
Cd_3,0.003989948853960263
Cd_4,0.008359680527646787
Cd_5,0.006204511629979404
Cd_6,0.01058997487059998
Zn_1,0.06139138106445152
Zn_2,0.12032268364512046
Zn_3,0.22367878996349427
Zn_4,0.3225498077128872
Zn_5,0.3993000156030804
Zn_6,0.4726573451409071
Cu_1,0.003548585081276425
Cu_2,0.011267762939247337
Cu_3,0.02071506453345431
Cu_4,0.03122996566333435
Cu_5,0.034188997241105974
Cu_6,0.04160098656382491
Pb_1,0.007534970919862811
Pb_2,0.011002638228766256
Pb_3,0.014344694628157446
Pb_4,0.020153218175468588
Pb_5,0.030297482547438505
Pb_6,0.0386481291386936
