,ybaE
Cr_1,0.00017127148096942433
Cr_2,0.004363509769564915
Cr_3,0.009575117719906335
Cr_4,0.007800491398560186
Cr_5,0.008550442781202058
Cr_6,0.006644798287477419
Fe_1,-0.008382845536492317
Fe_2,-0.010600486994290928
Fe_3,-0.014446809989666519
Fe_4,-0.02831900311577128
Fe_5,-0.03318827304629683
Fe_6,-0.032278732275710216
Cd_1,0.02850535233491568
Cd_2,0.05811364992019845
Cd_3,0.08286977585288179
Cd_4,0.0951654279752046
Cd_5,0.10396666833708501
Cd_6,0.12050827609205825
Zn_1,-0.002009639934448646
Zn_2,0.0010073976987219136
Zn_3,0.019471954059080768
Zn_4,0.031753076440179474
Zn_5,0.033352843265216495
Zn_6,0.018428339045671076
Cu_1,0.000872422017032781
Cu_2,-0.0009001254028654008
Cu_3,-0.0083474085363723
Cu_4,-0.01047575155861041
Cu_5,-0.019775273808045283
Cu_6,-0.022754034493012314
Pb_1,-0.0012633007972430925
Pb_2,0.00087963542233586
Pb_3,0.0075521720633253174
Pb_4,0.01545134284052282
Pb_5,0.01868740762619559
Pb_6,0.013550650425028609
