,aes
Cr_1,0.009272626722116322
Cr_2,0.01300836296270936
Cr_3,0.02019230227647669
Cr_4,0.02122757247626186
Cr_5,0.023788192848799884
Cr_6,0.026363760932025054
Fe_1,-0.0060684674442593204
Fe_2,-0.02030132607316876
Fe_3,-0.0322444113573466
Fe_4,-0.04893164136306634
Fe_5,-0.0541573526850519
Fe_6,-0.059672567904695085
Cd_1,0.01743376548381291
Cd_2,0.021511138576314853
Cd_3,0.03369438620702999
Cd_4,0.054226150311333134
Cd_5,0.05869401568992706
Cd_6,0.0708701961353646
Zn_1,0.0018882958937360226
Zn_2,-0.0005906040947720907
Zn_3,0.009434698468129565
Zn_4,0.026901629179598263
Zn_5,0.0425020251240081
Zn_6,0.059946043203561276
Cu_1,0.004026859091787989
Cu_2,-0.0020103244051054964
Cu_3,0.005943281587614674
Cu_4,0.04399080781031177
Cu_5,0.08363262304002944
Cu_6,0.12898958718370634
Pb_1,-0.01793066130467696
Pb_2,-0.0009246983027066482
Pb_3,0.03319071556846783
Pb_4,0.059266236968973936
Pb_5,0.041754921081497545
Pb_6,0.020694423465126236
