locus,gene_weight,gene_name,gene_product,cog,regulator,metJ,link
STM4105,0.2726310605,metF,5%2C10-methylenetetrahydrofolate reductase,Amino acid transport and metabolism,"metJ,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4105
STM3964,0.2588872377,metR,regulator for metE and metH,Transcription,"metJ,metR,nac,oxyR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3964
STM0603,0.2192881458,ybdL,putative aminotransferase,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0603
STM0602,0.1982905982,ybdH,putative glycerol dehydrogenase,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0602
STM4182,0.19156231410000002,metA,homoserine transsuccinylase,Amino acid transport and metabolism,"metJ,rpoD,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4182
STM0247,0.186111521,abc,putative ABC superfamily (atp_bind) transport system,Inorganic ion transport and metabolism,"fnr,hypT,metJ,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0247
STM3965,0.18313015200000002,metE,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,Amino acid transport and metabolism,"cra,metJ,metR,nac,oxyR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3965
STM4100,0.1732098733,metB,cystathionine gamma-synthase,Amino acid transport and metabolism,"hypT,metJ,phoP,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4100
STM3090,0.14259161950000002,metK,methionine adenosyltransferase 1,Coenzyme transport and metabolism,"crp,fnr,gadX,lrp,metJ,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3090
STM4101,0.1386798219,metL,aspartokinase II,Amino acid transport and metabolism,"hypT,metJ,phoP,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4101
STM0246,0.1346187119,yaeE,putative ABC superfamily (membrane) transport protein,Inorganic ion transport and metabolism,"fnr,hypT,metJ,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0246
