,A,PdhR,ArcA,Fis,Fnr,GadE,Crp,CusR,Cra,Fur,HprR
R2,,0.247488337961574,0.16335973947504,0.1625344253097868,0.0721808288649024,0.06805373272051618,0.05953176307397945,0.04532394787359573,0.04456481619985231,0.00244557763615183,0.00033274597199306477
xmin,,-7.947651277,-3.6017898952,-4.8936592304,-7.8525940196,-10.6456861873,-9.852476477,-6.944846208,-7.2746930645,-9.893921886,-5.2503658834
xmid,,-2.7950694998581045,-0.8550375211484842,,-1.7204838193878271,-0.7849597118135031,-0.5696504954165569,,-0.6660005957157753,-3.376990276239051,
xmax,,5.123006498,3.7109145168,4.361795663,4.4171410107,8.414435029,2.5388323397,12.6218296613,2.4360738119,3.7262191745,6.0796045829
ystart,,-4.507868971406078,1.8087518679233012,-6.475975448727753,-2.5717912050111797,0.38758803998881775,1.0033959590393686,-4.794906147688076,0.6584106877630211,-1.4727234036761094,0.23657193657811487
yend,,7.896253256802956,-7.800831342625787,5.6411939399599,6.7217630682308025,-6.864936013020171,-5.158882714385336,8.427622580010446,-4.420820594489003,0.9632813429931826,-0.9567056577838509
SRX1125282,0.7422285467,0.0786388769,0.1536251284,0.1452799267,-0.0825740115,0.0621393482,0.0344951212,0.033770334400000004,0.062006051900000005,-0.019353005700000002,-0.4383904353
SRX1125283,-0.6323481135,1.7268348803,-0.1085541986,0.032152022100000004,0.16485310350000001,-0.0775836905,0.1435731223,0.2384656699,-0.1314214465,0.2305871583,-0.5424872779000001
SRX1125284,1.4593438788,3.5512277696,-0.269085791,-0.11344229280000001,0.7752711503,-0.3037116648,0.2534372822,-0.24091952490000001,0.0314530619,0.7275786303,-0.18991407640000002
SRX1125285,6.9862298751,3.7031529341000002,0.0131235692,-0.6030691047,0.9066270852,-0.6782840429,0.283920339,-0.3243816225,-0.1295274102,1.208661552,-0.40459434650000003
SRX1125286,19.3342459327,3.7042838061000003,0.26443002660000003,-0.7040569003,0.95171602,-1.4889721360000001,0.3175329239,0.2054238045,-0.2247240932,1.1169083627,0.1294009898
