,A,RhaR,RhaS,ExuR,YdfH
R2,,0.3079824673881161,0.27434303181947184,0.15265683967425603,0.053871580508061734
xmin,,-1.35930584,-2.226677481,-0.968322694,-2.158337693
xmid,,,,-0.10753067495362467,
xmax,,8.75484379,10.324971899,2.358366192,1.122957641
ystart,,-0.7325041208195838,-0.5844949931310248,-0.11962690435815544,2.25551956471456
yend,,4.190590958395806,4.153415022823384,3.4609720673086084,-0.8184386123875883
control__wt_glc__1,0.1913345128,-0.109324577,-0.228111788,0.07036958900000001,-0.027512807
control__wt_glc__2,-0.1913345128,0.109324577,0.228111788,-0.07036958900000001,0.027512807
fur__wt_dpd__1,-2.4356955788,0.24690557800000001,-0.147401839,0.27630412400000004,-0.8841130450000001
fur__wt_dpd__2,-2.1589409213,0.226444854,0.18324716700000002,0.47376728100000004,-0.9652654650000001
fur__wt_fe__1,-1.0346067605,-0.004820317,-0.25099629300000004,-0.37796754800000004,-0.28816151700000003
fur__wt_fe__2,-0.8382797275,-0.22067755600000002,-0.18575664900000002,-0.430697243,-0.332306621
fur__delfur_dpd__1,-2.9546016126,0.695585784,-0.23689832400000002,0.061481536,-0.613338143
fur__delfur_dpd__2,-3.0965133924,-0.14684341,-0.146297633,0.091716848,-0.56841139
fur__delfur_fe2__1,-1.7148587116,-0.47970969,0.16824983200000002,-0.490955921,-0.368728661
fur__delfur_fe2__2,-1.2428965109,-0.030001716,-0.34486365100000005,-0.604288567,-0.300472756
acid__wt_ph5__1,-1.0251347934,0.00824208,0.282871775,0.012454104,-0.434536399
acid__wt_ph5__2,-1.6573664415,0.42605587300000003,-0.336121732,0.00920579,-0.36495121700000005
acid__delgadx_ph5__2,-1.0987846557,0.165847086,-0.148062721,0.156568186,-0.618062385
acid__delgadw_ph5__1,-1.2753983083,0.063095066,-0.162639259,-0.054778125000000004,-0.426848838
acid__delgadw_ph5__2,-1.083650093,-0.09858992200000001,0.203635646,-0.005454734,-0.455477927
acid__delgade_ph5__1,-1.8526851845,-0.008217180000000001,-0.214399097,0.042528118000000004,-0.38162912200000004
acid__delgade_ph5__2,-1.5759339292,-0.049202364000000005,-0.016616612,0.07534884500000001,-0.47979692300000004
oxidative__wt_pq__1,3.2747501178,-0.23430735300000002,0.449308607,1.932045271,-2.1322005490000002
oxidative__wt_pq__2,3.0690189155,0.771742457,0.573065924,1.9554017140000002,-2.158337693
oxidative__deloxyr_pq__1,-2.0467158547,-0.107879182,0.276300835,1.737433711,-1.5870059109999999
oxidative__deloxyr_pq__2,-1.9108386481,0.305588578,0.380283702,1.774830648,-1.52594632
oxidative__delsoxr_pq__1,10.1206060916,-0.22946586400000002,-0.295918322,2.278279104,-1.926152668
oxidative__delsoxr_pq__2,10.3586409937,-0.11503265500000001,-0.065903369,2.142817064,-1.646596142
oxidative__delsoxs_pq__1,6.2887640464,0.557881719,-0.075273408,2.213791474,-1.6149841999999999
oxidative__delsoxs_pq__2,6.2793837636,0.9913714020000001,0.200484557,2.222568586,-1.532987734
nac_ntrc__wt_csn__1,2.4343905108,0.103963917,0.31255709200000004,0.7000416220000001,-0.153756488
nac_ntrc__wt_csn__2,2.1834573657,0.154223689,0.42148511,0.6596161190000001,-0.12825867900000001
nac_ntrc__wt_cytd__1,0.06322880310000001,-0.26344665700000003,0.16020815,0.196156237,-0.144699728
nac_ntrc__wt_cytd__2,0.1467143827,0.396956073,0.16756859200000002,0.31985014,-0.21512591
nac_ntrc__wt_gln__1,-1.4017817482,0.172122472,0.201894327,0.08531010700000001,0.139611243
nac_ntrc__wt_gln__2,-1.6028822659,0.287937701,0.186330078,0.093274964,-0.000803209
nac_ntrc__bw_delnac_csn__1,0.11662837420000001,1.238716816,0.8659230550000001,0.888542032,-0.525414306
nac_ntrc__bw_delnac_csn__2,0.6340650347,0.035440653,0.961354437,1.065243456,-0.29667458500000005
nac_ntrc__bw_delnac_cytd__1,-0.6561433207,0.267749868,-0.18549272600000002,0.575482915,-0.44832822
nac_ntrc__bw_delnac_cytd__2,0.08024963090000001,-0.457486057,0.028873017,0.516280087,-0.452701261
nac_ntrc__bw_delnac_gln__1,-1.5838381943000002,0.317543051,-0.0559879,0.294312935,-0.5591093970000001
nac_ntrc__bw_delnac_gln__2,-2.7351964784,0.06711983,-0.462502619,0.38263235700000003,-0.366162148
nac_ntrc__bw_delnac_nh4__1,-1.5190879929,-0.032897431000000005,-0.441324317,0.13886389999999998,-0.46826535900000005
nac_ntrc__bw_delnac_nh4__2,-0.1730904459,0.5494365870000001,-0.20032238900000002,0.078579957,-0.571790408
misc__wt_no_te__1,2.3386981238,-0.160586809,-0.255881737,0.977764952,-0.9844504780000001
misc__wt_no_te__2,0.5097396315,-0.172970602,-0.29926252000000003,0.48394129300000005,-0.720124579
misc__bw_delcbl__1,-0.42849415690000003,0.077797217,-0.546496314,0.158620176,-0.696524518
misc__bw_delcbl__2,-0.3269378511,0.105982528,-0.159704765,0.285634949,-0.639533216
misc__bw_delfabr__1,0.8311906097,0.287815788,-0.269308276,-0.0068566750000000004,-0.575689411
misc__bw_delfabr__2,0.4279163004,0.121803744,-0.014220157,0.048482137,-0.44318199999999996
misc__bw_delfadr__1,-0.8642226827,0.14934765900000002,-0.053609186,0.261977391,-0.868766549
misc__bw_delfadr__2,-0.5173230081,-0.23462039,0.03394243,0.150204219,-0.712050277
misc__nitr_031__1,-2.184598711,0.759013728,0.051912674000000006,0.113603433,-0.10244284000000001
omics__wt_glu__1,-1.5508980775999999,0.126624243,-0.32356359500000004,0.343946605,0.322331935
omics__wt_glu__2,-1.3455012459,0.5645850210000001,0.22069972200000001,0.297058904,0.400735212
omics__wt_gly__1,-0.3292122126,0.8613195680000001,0.010103260000000001,-0.39770826800000003,-0.16120851600000002
omics__wt_gly__2,-1.00732446,-0.057838938000000006,-0.188711667,-0.416909621,-0.208081183
omics__wt_thr__1,-0.2454779863,2.746445172,1.87595617,1.239746095,0.293467292
omics__wt_thr__2,-0.2878636173,2.534264508,1.240463775,1.072411819,0.41173491
omics__bw_ac__1,2.6579211825,2.67386073,1.635360852,0.124882851,-0.211547739
omics__bw_ac__2,2.3523049696,2.635943994,1.2828379650000001,0.18189955600000002,-0.230452331
omics__bw_fum__1,0.8360571373,1.96196321,1.175906546,0.300733236,-0.43229440500000005
omics__bw_fum__2,0.911271747,1.7974438730000002,1.274949879,0.33099737700000004,-0.707656264
omics__bw_glc__1,-1.0227744728000001,0.32068080200000004,-0.10440964,0.455765811,-0.40335880500000004
