,-0.08613616217142857,-0.05742410811428571,-0.028712054057142847,1.3877787807814457e-17,0.028712054057142875,0.057424108114285735,0.0861361621714286,0.11484821622857146,0.14356027028571433,0.17227232434285716,0.20098437840000005,0.22969643245714294,0.2584084865142858,0.2871205405714286,0.3158325946285715,0.3445446486857144,0.3732567027428572,0.40196875680000005,0.4306808108571429,0.4593928649142858
thresh,-0.1004921892,0.1004921892,5,,,,,,,,,,,,,,,,,
unreg,0,10,365,3469,335,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ExuR,0,0,0,2,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
YdfH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
RhaS,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RhaS and RhaR,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ExuR_genes,[],[],[],['lgoD' 'lgoR'],['uxuR' 'exuT' 'exuR'],[],['uxaB'],['uxuB' 'uxuA' 'uxaA'],['uxaC'],[],[],[],[],[],[],[],[],[],[],[]
YdfH_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['rspB'],[],['rspA'],[],[]
RhaS_genes,[],[],['rhaD' 'rhaA'],['rhaT' 'rhaB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RhaS and RhaR_genes,[],[],[],[],[],['rhaR'],[],['rhaS'],[],[],[],[],[],[],[],[],[],[],[],[]
