,serA
Cr_1,0.001306268117763471
Cr_2,0.0029326967743532268
Cr_3,0.003349620984307188
Cr_4,0.0020425433261027025
Cr_5,0.00026915476721454365
Cr_6,-0.0039218733144132855
Fe_1,-0.013126524007853116
Fe_2,-0.03555130307321132
Fe_3,-0.06157756038114514
Fe_4,-0.09266038776595764
Fe_5,-0.11569415022471123
Fe_6,-0.13296412235436264
Cd_1,-0.0002821567413432614
Cd_2,0.0028950428218907955
Cd_3,0.005686559580096026
Cd_4,0.008867677448336055
Cd_5,0.009065737072576874
Cd_6,0.0211773776824481
Zn_1,-0.008512743268704624
Zn_2,-0.016112836346601902
Zn_3,-0.02214254048768585
Zn_4,-0.022415359392073533
Zn_5,-0.01953096417628856
Zn_6,-0.016030746762985774
Cu_1,0.006058190733314949
Cu_2,0.012018806226870744
Cu_3,0.017937410698659586
Cu_4,0.022353746200524667
Cu_5,0.02693026604074971
Cu_6,0.03350442160239734
Pb_1,0.005325854034154139
Pb_2,0.011931848265714891
Pb_3,0.01949619038726174
Pb_4,0.02755067853441656
Pb_5,0.03604510998119948
Pb_6,0.04749234977079449
