,yebS
Cr_1,-0.0054631195013217955
Cr_2,0.00011247605771910224
Cr_3,0.002722094713092048
Cr_4,-0.0043347075795657245
Cr_5,0.00022500714210239595
Cr_6,0.0009612441083152363
Fe_1,-0.010383469802315987
Fe_2,-0.03577734654033738
Fe_3,-0.062106824503753585
Fe_4,-0.08914137362309611
Fe_5,-0.10473035012786028
Fe_6,-0.11497060416317766
Cd_1,0.0003195235415576707
Cd_2,-0.003789674723393724
Cd_3,-0.004800535177596748
Cd_4,0.0018825335270075641
Cd_5,0.0022281670306151034
Cd_6,0.0008290487892880106
Zn_1,-0.007267821910784488
Zn_2,-0.01212488445133036
Zn_3,-0.007649525920826334
Zn_4,-0.0022179502702725736
Zn_5,0.005608783343203705
Zn_6,0.017143537680286973
Cu_1,0.0011857107545777891
Cu_2,0.0030500377669813268
Cu_3,0.0060385707371562476
Cu_4,0.012811139694363104
Cu_5,0.020335568337313845
Cu_6,0.02693815177255099
Pb_1,0.007306691772368694
Pb_2,0.016278417516332196
Pb_3,0.028346743977798936
Pb_4,0.04335130571438353
Pb_5,0.049563969571963004
Pb_6,0.05593637476649551
