,ydeJ
Cr_1,-0.0073079564994002815
Cr_2,-0.012485179394926634
Cr_3,-0.010443548234879436
Cr_4,-0.009587454061405171
Cr_5,-0.0038164441165656647
Cr_6,0.005069272913849422
Fe_1,-0.05582637949741389
Fe_2,-0.14002311682928664
Fe_3,-0.2346312867134078
Fe_4,-0.36413844133911816
Fe_5,-0.4564516415845147
Fe_6,-0.5429496571324738
Cd_1,0.004997710379065845
Cd_2,0.009116110183305812
Cd_3,0.0111539088159744
Cd_4,0.014792973854309346
Cd_5,0.016858137063830325
Cd_6,0.014922025829855747
Zn_1,-0.03351025133225825
Zn_2,-0.049129121948931286
Zn_3,-0.040058313893773255
Zn_4,-0.04572780957495772
Zn_5,-0.026514852851253243
Zn_6,0.0018039367436291005
Cu_1,0.0021856976054872106
Cu_2,0.004333366271391154
Cu_3,0.007491741805575537
Cu_4,0.00828927842761967
Cu_5,0.012101294670636078
Cu_6,0.023838112496258515
Pb_1,-0.011382005500012116
Pb_2,-0.008835370108849437
Pb_3,-0.004144500141578451
Pb_4,-0.0013029790817929287
Pb_5,6.021514351131079e-05
Pb_6,0.004996050751173769
