,yafV
Cr_1,-0.009870361265067415
Cr_2,-0.018773377192822616
Cr_3,-0.02103813763278058
Cr_4,-0.016165026554548222
Cr_5,-0.019114164584370538
Cr_6,-0.02271638685041996
Fe_1,-0.029186063763617518
Fe_2,-0.0715186111198064
Fe_3,-0.10365798632219353
Fe_4,-0.12607605632554145
Fe_5,-0.14129440319511413
Fe_6,-0.14853742752918214
Cd_1,-0.0009759967792540855
Cd_2,0.010659468487487198
Cd_3,0.0260247402442752
Cd_4,0.03877865967760785
Cd_5,0.04828448589224649
Cd_6,0.06357723566816725
Zn_1,0.00371929015202294
Zn_2,0.009393345546259238
Zn_3,0.010733949802471792
Zn_4,0.01843977835316999
Zn_5,0.03549554240172228
Zn_6,0.05544826873938729
Cu_1,-0.0007359020816041161
Cu_2,-4.346179374829445e-06
Cu_3,0.0008545890337887043
Cu_4,0.008604482541545168
Cu_5,0.01580663878483036
Cu_6,0.01773126350492174
Pb_1,-0.0011524339920113169
Pb_2,0.0037819669694834734
Pb_3,0.012765880447147965
Pb_4,0.03393358607091672
Pb_5,0.036532636739074836
Pb_6,0.053202426635039976
