,A,Rv0135c,Rv1019
R2,,0.03711904889274631,0.0002259421339109169
xmin,,-2.7762357092,-2.0520000519
xmid,,-0.6534253182614145,
xmax,,2.2040080257,1.899555232
ystart,,-1.6229243237582782,-1.2924598364495443
yend,,2.065984085879297,-0.3778346761667466
AX:AX_10_MIC:1,-2.8581865669,-0.010926810700000001,0.3722997846
AX:AX_10_MIC:2,-2.4449132194,0.2587130141,0.6607884404000001
AX:AX_30_MIC:1,-1.4989727288,-0.1346993826,0.4594008372
AX:AX_30_MIC:2,-1.9218092936,0.2647022658,1.1383827841
AX:QZ_10_MIC:1,-2.5553344677,0.1075932787,0.5397889837000001
AX:QZ_10_MIC:2,-2.7936178475,0.4390348094,0.8832227472
AX:QZ_30_MIC:1,-0.8791703817000001,0.3410149924,0.9455675829
AX:QZ_30_MIC:2,-0.6872003651,0.4983994741,0.7227995646
AX:wt:1,0.3552802651,-0.0090412502,0.2438130805
AX:wt:2,-0.3552802651,0.0090412502,-0.2438130805
ITM_04:00h_clinic_ctrl:1,1.0095100273,-0.22794859350000002,-0.0874187474
ITM_04:00h_clinic_ctrl:2,1.2609967695,-0.2564194065,-0.2825643285
ITM_04:00h_h37rv_control:1,-0.2428211898,-0.0434881701,0.0547551526
ITM_04:00h_h37rv_control:2,0.19809375740000001,0.0625305557,-0.0130667043
ITM_04:00h_h37rv_control:3,0.044727432500000004,-0.0190423856,-0.0416884483
ITM_04:06h_clinic_delam:1,-0.5183422168,1.8514583712000001,1.4544648164
ITM_04:06h_clinic_delam:2,-0.1626464307,1.9612454339,1.316977031
ITM_04:06h_clinic_delam:3,-0.2706625394,1.8869482374,1.5033169933
ITM_04:06h_clinic_DMSO:1,-1.1007930348,-0.5814287212,-0.2623273673
ITM_04:06h_clinic_DMSO:2,-1.4317708132,-0.6681658001,0.015539702800000001
ITM_04:06h_clinic_DMSO:3,-1.3959650863,-0.517829156,-0.0954637485
ITM_04:06h_h37rv_delam:1,-0.8656174941,1.4460596436,1.6457177161
ITM_04:06h_h37rv_delam:2,-0.6794583315,1.6807334908,1.8009345675000001
ITM_04:06h_h37rv_delam:3,-0.5249763794,1.5208328653,1.6488005956
ITM_04:06h_h37rv_DMSO:1,-2.2862890077999998,-0.2443214213,-0.0467772531
ITM_04:06h_h37rv_DMSO:2,-2.5411122014,-0.2642146019,0.0366429998
ITM_04:06h_h37rv_DMSO:3,-2.7764669244,-0.3739379734,0.3858074079
ITM_04:24h_clinic_delam:1,-0.0794952336,1.8058859665,1.4498423836
ITM_04:24h_clinic_delam:2,0.1412858944,1.7288151995,1.4166806341
ITM_04:24h_clinic_delam:3,0.36343215030000003,1.9140542661,1.3045427561
ITM_04:24h_clinic_DMSO:1,-0.5738710885,-0.4414530427,-0.36667054530000004
ITM_04:24h_clinic_DMSO:2,-0.058918808700000005,-0.5429170616,-0.26385472390000003
ITM_04:24h_clinic_DMSO:3,-0.5401480747,-0.5102550686,-0.1296046528
ITM_04:24h_h37rv_delam:1,-0.6439222399,1.491923686,1.8855795418999999
ITM_04:24h_h37rv_delam:2,-0.3764297975,1.7417671534,1.899555232
ITM_04:24h_h37rv_delam:3,-0.1301657285,1.6231749508000002,1.7235309026
ITM_04:24h_h37rv_DMSO:1,-1.2957712951,-0.7513861205,-0.21377772080000002
ITM_04:24h_h37rv_DMSO:2,-1.5189032286000002,-0.4298864485,-0.1888788291
JSF:DMSO:1,-0.0420528916,-0.0702041147,-0.0750406551
JSF:DMSO:2,-0.079395978,0.043925157900000004,0.032904813000000005
JSF:DMSO:3,0.1053100825,-0.024801008000000003,0.10908834140000001
JSF:DMSO:4,0.0161387871,0.0510799647,-0.0669524992
JSF:JSF_2019:1,-1.3295529386,0.5752964853,1.8395479339
JSF:JSF_2019:2,-1.3413279754,0.5782321275,1.8219855239
JSF:JSF_2019:3,-1.3610056977,0.5558335106,1.8160966023
JSF:JSF_2019:4,-1.3227137131,0.3840852729,1.7813243636
JSF:JSF_2026:1,-2.1155600069,-0.7290466695000001,1.1099752481
JSF:JSF_2026:2,-1.9838379542000002,-0.5027987182,1.2372797893
JSF:JSF_2026:3,-2.209954666,-0.5819917642,1.1972934458
JSF:JSF_2026:4,-2.0058547702,-0.6432308618,1.2105616484
MTS1338:over_expression:1,0.9323916103000001,0.3254858215,-0.0079733101
MTS1338:over_expression:2,-0.9323916103000001,-0.3254858215,0.0079733101
PAS:control:1,-0.281555644,0.0525875866,0.030983940100000003
PAS:control:2,0.1921490489,0.1466429833,0.030621940700000003
PAS:control:3,0.0894065951,-0.19923056990000002,-0.061605880800000005
PAS:treated:1,3.5575304319,0.3895918504,0.6918030542
PAS:treated:2,3.5259452613,0.5044569480000001,0.48711782680000004
PAS:treated:3,3.6452471879,0.2603874389,0.6645841033000001
THP-1:24h_THP_B_enriched:1,0.2633116947,-0.2303453764,0.0171016222
THP-1:24h_THP_B_enriched:2,-0.2633116947,0.2303453764,-0.0171016222
aminoimidazoles:02h_treated:1,-2.0190643105,0.0892931637,0.1331501208
aminoimidazoles:02h_treated:2,-2.134044571,0.0557759922,0.1006283401
aminoimidazoles:24h_treated:1,-0.7737465614,0.3198219244,0.8514324063
aminoimidazoles:24h_treated:2,-0.683855053,0.4062862378,0.7277274177
aminoimidazoles:untreated:1,-0.0621298174,-0.0720703308,-0.0624706191
aminoimidazoles:untreated:2,-0.1052543487,-0.0982898052,-0.029388977700000003
aminoimidazoles:untreated:3,0.1673841661,0.17036013600000002,0.0918595968
antibiotic:ctrl_24h:1,-0.1447811198,0.1222805336,0.10557932340000001
antibiotic:ctrl_24h:2,-0.8885505287000001,0.0619908376,-0.034499343700000004
antibiotic:ctrl_24h:3,-0.2686151625,-0.2016317914,-0.1749062585
antibiotic:ctrl_4h:1,0.3192981267,-0.0677607234,0.1958627771
antibiotic:ctrl_4h:2,-0.2227311211,-0.0129462267,0.0385649598
antibiotic:ctrl_4h:3,-0.0965670056,0.0807069502,-0.2344277368
antibiotic:izd_4h:1,3.5528863078,-2.2587010621,0.9663886821000001
antibiotic:izd_4h:2,3.3638967139,-2.1050168489,0.9136925585000001
base:wt_glu_24:1,1.7101934461,-0.14319881780000002,0.6881143362000001
base:wt_glu_24:2,0.7190457876,-0.0739707716,0.5445804215
base:wt_glu_24:3,0.8658896898,-0.0939216556,0.5562842361
base:wt_glu_6:1,0.6656124099,-0.0742401573,0.0955246906
base:wt_glu_6:2,-0.5480827428,0.0026044979,-0.0729789135
base:wt_glu_6:3,-0.1175296671,0.0716356595,-0.0225457771
base:wt_llac_24:1,-0.9932096846,0.2474400227,0.054262327400000004
base:wt_llac_24:2,-1.1144806298,0.1722248929,0.2510359242
base:wt_llac_24:3,-0.8491926871000001,-0.23388389550000002,-0.330977601
base:wt_llac_6:1,0.7358645122,-0.0230312269,0.1681223598
base:wt_llac_6:2,-0.3671783227,-0.1498859868,-0.281153906
base:wt_llac_6:3,-1.00703206,-0.15999582410000002,-0.13461427380000002
base:wt_pyr_24:1,-0.11780165840000001,0.1672873347,0.36977311160000004
base:wt_pyr_24:2,-1.1329613797,-0.0263331532,-0.25362310800000004
base:wt_pyr_24:3,-0.3188714281,0.13445716130000002,0.3619788298
base:wt_pyr_6:1,-0.640431305,-0.2953124817,-0.623877089
base:wt_pyr_6:2,0.2986911537,-0.13221226120000001,-0.2255963523
base:wt_pyr_6:3,-0.9328945868,-0.1510518868,-0.3643223961
biofilm:biofilm:1,0.6293384928,0.3161939782,-0.4784149086
biofilm:biofilm:2,0.5852988680000001,0.3075503726,-0.5098379668
biofilm:planktonic:1,0.015628267,0.048542164400000004,0.0433846317
biofilm:planktonic:2,-0.015628267,-0.048542164400000004,-0.0433846317
btz043:0_days_.006:1,-0.394604247,-0.14340282000000001,0.029393740800000002
btz043:0_days_.006:2,-0.2967987606,-0.2815098326,-0.0018958332
btz043:0_days_.006:3,-0.5072954501,-0.1911903614,0.1662944711
btz043:0_days_control:1,-0.0018067529,-0.0121283741,0.0497977526
btz043:0_days_control:2,-0.0561500157,-0.037375745,-0.0701593755
btz043:0_days_control:3,0.0579567686,0.0495041191,0.0203616229
btz043:1_days_.006:1,-12.9911381936,-0.6163014091,-0.0865512287
btz043:1_days_.006:2,-13.2307094031,-0.5315175034,0.0031061082000000003
btz043:1_days_.006:3,-12.7557039826,-0.5443842601000001,-0.0623157812
btz043:1_days_.006:4,-13.0098397232,-0.6164562594,-0.2105790759
btz043:1_days_control:1,-12.4896096008,-0.4673923471,-0.3317548261
btz043:1_days_control:2,-12.8296733951,-0.5012640260000001,-0.2867506971
btz043:1_days_control:3,-12.6577886632,-0.3640194356,-0.41490001600000004
btz043:1_days_control:4,-12.4990948233,-0.6420856275,-0.4208727504
clarithromycin:1_days_control:1,0.324815419,-0.0210460378,-0.08845118610000001
clarithromycin:1_days_control:2,-0.0685296162,0.038211144700000005,0.12583973
clarithromycin:1_days_control:3,-0.2562858029,-0.0171651069,-0.0373885439
cnpB:del:1,-1.1449495552,-0.042996100100000004,0.0094825786
cnpB:del:2,-1.3599139137,0.3748858671,0.0150125138
cnpB:del:3,2.0463331177,-0.41826477500000003,-0.1272032759
cnpB:wt:1,-0.6519015427,-0.1914609615,0.0314102677
cnpB:wt:2,-0.8954752976,0.4292629683,0.1808954204
cnpB:wt:3,1.5473768403000001,-0.23780200680000002,-0.2123056882
csoR:ko:1,2.5971090295,0.2349240028,-0.11305001710000001
csoR:ko:2,1.3396465834,0.035761726,-0.4261505694
csoR:wt:1,0.6863657689,-0.0471701469,0.0692668734
csoR:wt:2,-0.6863657689,0.0471701469,-0.0692668734
dap:0_days_25:1,1.0096186164,-0.1149179167,0.2566014594
dap:0_days_25:2,0.7924738857,-0.0653285503,0.2231277075
dap:0_days_25:3,1.3943242071,-0.1989041732,0.1415827999
dap:0_days_25:4,1.0668535897,-0.045859045,0.15855612230000002
dap:0_days_control:1,-0.1503953788,0.020210444600000002,0.0771662021
