,A,CpxR
R2,,0.13251162113993675
xmin,,-8.11516967
xmid,,-1.2491118446229503
xmax,,1.489093840999999
ystart,,-1.5941911574270142
yend,,5.3498494071007645
control__wt_glc__1,0.1920390229776185,-0.016455943000000417
control__wt_glc__2,-0.1920390229776558,0.01645594299999864
fur__wt_dpd__1,-1.6074692936225137,0.4836166070000001
fur__wt_dpd__2,-1.7615341461208964,0.4819631480000002
fur__wt_fe__1,-1.5536187726132047,-0.3482323360000006
fur__wt_fe__2,-1.358726991696195,-0.4678698910000003
fur__delfur_dpd__1,-2.0058329104619714,0.4644351139999987
fur__delfur_dpd__2,-1.6593769399691345,0.4589973650000001
fur__delfur_fe2__1,-0.8607742299659836,-0.2057016049999998
fur__delfur_fe2__2,-1.113838704426505,-0.1691045400000002
acid__wt_ph5__1,-4.525704522541349,-0.12207626600000054
acid__wt_ph5__2,-4.492906227749206,-0.09064453500000093
acid__delgadx_ph5__2,-4.335241697168565,-0.03550277799999968
acid__delgadw_ph5__1,-3.982105057427317,-0.10232901400000037
acid__delgadw_ph5__2,-4.04491618682438,0.016478088999999585
acid__delgade_ph5__1,-4.5279551707618415,0.0034160189999994373
acid__delgade_ph5__2,-4.257294366790374,-0.023407665000000574
oxidative__wt_pq__1,-1.6940943589699773,0.16153106299999995
oxidative__wt_pq__2,-1.7435014740168844,0.2448777880000001
oxidative__deloxyr_pq__1,-3.3770438829050238,-0.10101905500000008
oxidative__deloxyr_pq__2,-3.2198427506893936,-0.11828549100000176
oxidative__delsoxr_pq__1,-1.7958047756567757,0.1309688960000006
oxidative__delsoxr_pq__2,-1.485284261107826,0.16416381700000038
oxidative__delsoxs_pq__1,-2.094762935272627,0.5578435850000005
oxidative__delsoxs_pq__2,-1.943679300397523,0.5878657159999996
nac_ntrc__wt_csn__1,1.9183437670237364,0.4790759760000008
nac_ntrc__wt_csn__2,2.332710010382508,0.4322015300000004
nac_ntrc__wt_cytd__1,2.399343591943389,0.20730917799999915
nac_ntrc__wt_cytd__2,2.299191371921617,0.15735161099999928
nac_ntrc__wt_gln__1,3.318011420405244,0.6617181129999992
nac_ntrc__wt_gln__2,3.6179405727205753,0.5436341450000004
nac_ntrc__bw_delnac_csn__1,-0.5898575066266526,0.7312337370000002
nac_ntrc__bw_delnac_csn__2,-0.0070875311026973,0.8983527499999989
nac_ntrc__bw_delnac_cytd__1,0.2857248949397923,0.36012009299999903
nac_ntrc__bw_delnac_cytd__2,0.381044926583085,0.2821744499999994
nac_ntrc__bw_delnac_gln__1,-0.0386145042799103,0.37726644600000014
nac_ntrc__bw_delnac_gln__2,0.507201122802999,0.4431282119999995
