,A,GutM,SrlR
R2,,0.7445224313126758,0.6030768735682854
xmin,,-2.6173884845,-1.899557689
xmid,,0.022174210163693482,1.2695476184938053
xmax,,5.9659222965000005,3.87495855
ystart,,0.4332084642366671,0.6126590000547534
yend,,28.823741468958556,29.097469846662
control__wt_glc__1,0.2790086264,0.0425177875,0.009999969000000001
control__wt_glc__2,-0.2790086264,-0.0425177875,-0.009999969000000001
fur__wt_dpd__1,-1.0545636375,-0.039438191500000004,0.13161071500000002
fur__wt_dpd__2,-1.5762115179,0.5418170465000001,0.074073502
fur__wt_fe__1,-0.1831605081,-0.33080356050000004,-0.25788856200000004
fur__wt_fe__2,0.3080768282,-0.2957650055,0.036583369000000004
fur__delfur_dpd__1,-1.6315302009,0.044346433500000004,-0.33083942
fur__delfur_dpd__2,-2.3945685792,-0.0823503285,-0.046876237
fur__delfur_fe2__1,0.3402858904,0.2131540265,0.106058357
fur__delfur_fe2__2,-0.009338167500000001,-0.3659235015,-0.060420811000000005
acid__wt_ph5__1,-0.4573904921,0.2177188445,0.01098626
acid__wt_ph5__2,-0.33144569960000003,-0.4519271265,0.045054951
acid__delgadx_ph5__2,-0.7155640492,-0.6857601135,0.08098298400000001
acid__delgadw_ph5__1,0.2891754733,-0.1061745865,0.162853264
acid__delgadw_ph5__2,0.3732043505,-0.8245732205,0.120813787
acid__delgade_ph5__1,-0.1500978964,-0.0708215105,0.048402568
acid__delgade_ph5__2,-0.336953406,-0.1460627355,0.13518692300000001
oxidative__wt_pq__1,0.9658619435,1.0258727345,-0.013054876
oxidative__wt_pq__2,1.924451099,0.6433079135,0.12202484100000001
oxidative__deloxyr_pq__1,0.32586983280000004,0.44343853250000004,0.30101621700000003
oxidative__deloxyr_pq__2,0.4186696231,0.6494603625,0.36503797400000004
oxidative__delsoxr_pq__1,0.152596387,0.2007780375,0.081715113
oxidative__delsoxr_pq__2,-0.8845795916,0.08262328050000001,0.144224345
oxidative__delsoxs_pq__1,0.365882743,0.9920291735000001,0.34459257400000004
oxidative__delsoxs_pq__2,-0.2039853812,0.7456489915000001,0.218190718
nac_ntrc__wt_csn__1,-2.2141621521,-0.1817319245,-0.11761608
nac_ntrc__wt_csn__2,-1.3189756159,0.2523302255,-0.218651524
nac_ntrc__wt_cytd__1,-0.6399264568,-0.1732927025,0.020107314
nac_ntrc__wt_cytd__2,-0.7343603049,-0.5427592065,0.007058197
nac_ntrc__wt_gln__1,-1.9352356447,0.4513406165,0.23521333900000002
nac_ntrc__wt_gln__2,-0.7696753647,0.4875879335,-0.102044566
nac_ntrc__bw_delnac_csn__1,0.2514821815,0.48175209750000003,-0.39903565
nac_ntrc__bw_delnac_csn__2,-0.066532662,0.3007853675,-0.6240289830000001
nac_ntrc__bw_delnac_cytd__1,-0.1088954629,-0.1503969535,-0.11843253200000001
nac_ntrc__bw_delnac_cytd__2,-0.3148322451,-0.4543952545,-0.00849127
nac_ntrc__bw_delnac_gln__1,-2.2527485359,-0.24180539850000002,0.091490058
nac_ntrc__bw_delnac_gln__2,-0.5610098097,0.6608584025,0.181533515
nac_ntrc__bw_delnac_nh4__1,0.6137130559,-0.8453227735000001,0.08315349
nac_ntrc__bw_delnac_nh4__2,0.9714688592,-0.5611382865,0.0024935810000000004
misc__wt_no_te__1,1.0442047073,0.7281367825,-0.171208724
misc__wt_no_te__2,0.45534948670000003,-0.44462710050000004,-0.045575904
misc__bw_delcbl__1,1.4550506256,0.1456694795,0.076187961
misc__bw_delcbl__2,0.9219602497,-0.06521592550000001,0.19574860400000002
misc__bw_delfabr__1,2.113987003,-0.1680711035,-0.175331
misc__bw_delfabr__2,1.5100598067000002,-0.2432313755,0.052681773
misc__bw_delfadr__1,0.6101439072,-0.2289371835,0.013087829
misc__bw_delfadr__2,-0.2830111301,-0.040222415500000004,-0.163437775
misc__nitr_031__1,-1.1093699766,-0.2072397005,0.11708138800000001
omics__wt_glu__1,0.5005785843,1.6349662215,0.563631656
omics__wt_glu__2,0.39875727800000005,1.2991740645,0.397534899
omics__wt_gly__1,0.6711540592,0.8179880575,-0.344783548
omics__wt_gly__2,1.0677528217,1.1335409375,-0.313897629
omics__wt_thr__1,3.9783710020000003,2.4246539855,2.013167865
omics__wt_thr__2,3.5208108958,2.4346785775,1.947610584
omics__bw_ac__1,0.2787373442,0.2279079295,0.644779219
omics__bw_ac__2,0.2123320215,-0.5554734195000001,0.414821484
omics__bw_fum__1,1.0641890628,-0.2756128195,0.285429482
omics__bw_fum__2,1.1364499185,-0.7106755045,0.10630025
omics__bw_glc__1,-0.7221299013,-0.23790025750000002,-0.079508363
omics__bw_glc__2,-0.7021588795,0.11686951350000001,-0.139924511
omics__bw_pyr__1,-0.33009041850000004,-0.4573096995,0.565499602
omics__bw_pyr__2,-0.12297852420000001,-0.0855022245,0.014074493
ompr__wt_nacl__1,-1.3637686229,-0.8218413885,-0.478687163
ompr__wt_nacl__2,-1.2237556002,-0.2437657895,-0.751332223
ompr__bw_delompr_nacl__1,-1.5097332468,-0.2487134795,-0.46472782
ompr__bw_delompr_nacl__2,-0.34102333090000003,0.5972822775000001,-0.10179813300000001
minspan__wt_ade__1,-1.6240828737,-0.40154920050000004,0.192488925
minspan__wt_glc__2,0.21827040050000002,0.5493320035,0.389377275
minspan__wt_glc__3,-0.5104162686,-0.5644547405,0.256212127
minspan__wt_glc__4,0.3196033089,0.5507218945,0.259514788
minspan__wt_glc_anaero__1,-3.3604093046,-0.3245736255,0.586217907
minspan__wt_glc_anaero__2,-3.0728516126,0.0127685895,0.800384023
minspan__wt_trp__1,5.3537520799,0.9821857515,1.915986256
minspan__bw_delcra_glc__2,1.8665873597,-0.0708332215,1.3851630799999999
minspan__bw_delcra_trp__1,3.6027501998,0.4061817545,1.413989995
minspan__bw_delmntr__1,4.9129500916,0.4816352175,1.7555752610000002
minspan__bw_delnac_ade__1,-4.4635400234,-0.6296881895,-0.32419505
minspan__bw_delnac_glc__1,-1.8722483053,-0.21038803150000002,-0.08261323300000001
cra_crp__wt_ac__1,2.6752500914,1.6725628755000002,0.771605932
cra_crp__wt_ac__2,2.7712885929,1.6200604085,0.717905721
cra_crp__wt_fru__1,3.2102513166,1.5427254265,0.353376269
cra_crp__wt_fru__2,2.7808465719,1.3027742555000001,0.42957610100000004
cra_crp__delcra_ac__1,3.068976501,0.3674305835,0.21123718100000002
cra_crp__delcra_ac__2,3.4903208562,0.2788990575,0.28693412300000004
cra_crp__delcra_fru__1,-0.3576845078,-0.0017419815,-0.007771606
cra_crp__delcra_fru__2,0.1311589609,0.3347774045,0.31398975100000004
