locus,gene_weight,gene_name,gene_product,cog,operon,regulator,LnrK,link
BSU_08310,0.4243389323313269,bifL,ABC transporter (ATP-binding protein) biofilm formation,Defense mechanisms,Op644,"LnrK,SigG,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08310
BSU_08330,0.4213648847077603,bifN,ABC transporter (permease) biofilm formation,Defense mechanisms,Op646,"LnrK,SigG,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08330
BSU_08320,0.4211681045050342,bifM,ABC transporter (permease) biofilm formation,Defense mechanisms,Op645,"LnrK,SigG,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08320
