,ydhP
Cr_1,-0.0046726599992853906
Cr_2,-0.003462094988684739
Cr_3,-0.0037897915114168046
Cr_4,0.004672316259002867
Cr_5,0.009529345828008904
Cr_6,0.01522443448718499
Fe_1,0.00935775628042613
Fe_2,-0.003683960252322669
Fe_3,-0.01212072944375087
Fe_4,-0.0208975681633058
Fe_5,-0.02425818832824221
Fe_6,-0.031634345158012195
Cd_1,-0.002599802051628176
Cd_2,-0.002499677225364716
Cd_3,-0.0021560533908118137
Cd_4,7.472225314397732e-05
Cd_5,-0.0020427694099976537
Cd_6,0.001200372058889791
Zn_1,-0.016915234748759368
Zn_2,-0.02221190398877362
Zn_3,-0.023514643740952825
Zn_4,-0.019285409027408128
Zn_5,-0.005094296867808733
Zn_6,0.014237260732370138
Cu_1,-0.0009588643121887043
Cu_2,0.0006539707966473335
Cu_3,0.006740407533983042
Cu_4,0.013201742656056682
Cu_5,0.016672165321522464
Cu_6,0.021911124568968418
Pb_1,0.004701129390442878
Pb_2,0.020907884586549054
Pb_3,0.03503553140666938
Pb_4,0.03914415246386256
Pb_5,0.040622795716097934
Pb_6,0.04893304109659356
