,folE
Cr_1,-7.500923327828555e-05
Cr_2,-0.00044087256680940684
Cr_3,-0.0024970233371454124
Cr_4,-0.006471801125644214
Cr_5,-0.011934280679423991
Cr_6,-0.02291487918234881
Fe_1,-0.006298411143997055
Fe_2,-0.022521155024049357
Fe_3,-0.04266342242714927
Fe_4,-0.0699079031702707
Fe_5,-0.09667503588240786
Fe_6,-0.11486909428169195
Cd_1,0.0049435239387205145
Cd_2,0.006768809245113732
Cd_3,0.00548654861246258
Cd_4,0.00343989131008556
Cd_5,-0.0018871897362939094
Cd_6,-0.00030795723446331316
Zn_1,-0.005544949169790558
Zn_2,-0.021853483424759682
Zn_3,-0.04530123407035501
Zn_4,-0.06880447191163283
Zn_5,-0.08690400421263061
Zn_6,-0.10041992165757947
Cu_1,0.008038462126664883
Cu_2,0.0169299315237383
Cu_3,0.02459801974979697
Cu_4,0.03285034920201371
Cu_5,0.044687607073450084
Cu_6,0.06181752854192558
Pb_1,0.0026114209602710763
Pb_2,0.003655254828927128
Pb_3,0.007328661612439008
Pb_4,0.017818999918418902
Pb_5,0.026752917307983383
Pb_6,0.037434069939890895
