,PSPTO_RS21420
SRX1828913,0.16791782560000001
SRX1828914,0.1463912179
SRX1828915,0.0018128343
SRX1828916,0.2831298088
SRX1828917,-0.1697306599
SRX1828918,-0.8322576321
SRX3983989,-0.1371806635
SRX3983990,0.18086236790000002
SRX3983993,-1.2742145401
SRX3983994,-1.5693137294000001
SRX3983995,-0.19125075300000002
SRX3983996,-2.3472404861
SRX3983997,-1.3551460286
SRX3983998,0.0238620837
SRX3983999,-0.1778352979
SRX3984000,-0.08337604900000001
SRX3984001,-1.1567924497
SRX3984002,-1.0711570862
SRX3984003,-1.746942927
SRX3984004,-0.0845069698
SRX3984005,-0.22226484670000002
SRX3984006,-2.0318399826
SRX3984007,-1.5502232988
SRX3984008,0.148055711
SRX3984009,0.1314277181
SRX3984010,-1.2894392283
SRX3984011,0.09420034050000001
SRX3984012,-0.024327549400000002
SRX3984013,0.0502014192
SRX3984014,-0.3464438281
SRX3984015,-1.7011600211
SRX3984016,-0.3043632027
SRX3984017,-1.3595094731000001
SRX3984019,0.23943207090000002
SRX3984020,-1.1104707331
SRX3984021,-2.0259913748
SRX3984022,-1.7301043552
SRX3984023,0.12051525260000001
SRX3984024,-0.1318721094
SRX3984025,-0.1011117721
SRX3984026,-0.4469330258
SRX3984027,0.0392089099
SRX3984028,0.0076665326
SRX3984029,-0.2112879571
SRX3984031,-1.6059175657
SRX3984032,-0.9776857868000001
SRX3984034,-0.007875605400000001
SRX3984035,-1.5582655598000001
SRX3984036,-1.3870945244000001
SRX3984037,-2.2962855297
SRX3984038,-0.9960744101000001
SRX3984039,-2.0833229434
SRX3984040,-0.1332794269
SRX3984041,-1.5931911642
SRX3984042,-2.0428745788
SRX3984043,-1.5739511825
SRX3984045,0.0871886808
SRX3984046,-0.0633014554
SRX3984047,-2.3767030412
SRX3984048,-1.9701749357
SRX3984049,-2.0032548941
SRX3984050,-1.5873173635
SRX3984051,-2.0373471195
SRX3984052,-0.1898576503
SRX3984056,-1.1844913274
SRX3984057,-1.0638595697
SRX3984058,-1.20140474
SRX3984059,0.019216612100000002
SRX3984061,-0.0295469197
SRX3984062,-0.1414004401
SRX3984063,-0.15435149450000002
SRX3984064,-0.34357863450000004
SRX3984065,0.1005158936
SRX3984066,-0.2033634497
SRX3984067,0.093079984
SRX3984068,-0.0479560793
SRX3984069,-1.645856953
SRX3984070,-1.6140077622
SRX3984071,-1.626923299
SRX3984073,0.0742605403
SRX3984074,-0.012256830600000001
SRX3984077,-0.0645162322
SRX3984078,0.11583797100000001
SRX3984079,-3.1844509562
SRX3984080,-0.0493381918
SRX3984082,-0.1117200554
SRX3984084,-1.4856978394
SRX6997963,0.015443833300000001
SRX6997964,0.1571369542
SRX6997965,0.1367118619
SRX6997967,0.2160126211
SRX6997968,-0.1236594813
SRX6997969,0.0380426709
SRX6997971,-0.2314564544
SRX6997972,-0.1797926315
SRX6997973,0.1512550618
SRX3159100,-0.3485492922
SRX3159101,0.2053924792
SRX3159102,0.18617137290000002
SRX3159103,-0.0430145599
SRX3159000,0.154555932
SRX3159001,0.0022896584
SRX3159002,0.034087144300000004
SRX3159003,-0.2224955785
SRX3159004,0.17247429390000002
SRX3159005,-0.0091795798
SRX3159006,0.057450513800000005
SRX3159007,0.08971377
SRX3159008,-0.16304940440000001
SRX3159009,0.1382053386
SRX3159010,-0.7106297213
SRX3159012,-0.5137841179
SRX3159013,-0.0699590108
SRX3159014,-0.42313555820000004
SRX3159015,-0.1235513535
SRX3159016,0.0740294219
SRX3159017,0.005008237400000001
SRX3159018,-0.2238484517
SRX3159019,-0.2302388008
SRX3159020,-0.0909172063
SRX3159021,-0.1656810564
SRX3159022,-0.5069254746
SRX3159023,0.0355556981
SRX3159024,-0.1669913224
SRX3159025,-0.1747231589
SRX3159026,0.3532311288
SRX3159027,0.3785054718
SRX3159028,0.43266903640000004
SRX3159029,0.3398415853
SRX3159030,0.46014451970000003
SRX3159034,0.34253238140000003
SRX3159036,0.2834636554
SRX3159037,0.1383852431
SRX3159041,0.2600369175
SRX3159042,0.21716853600000002
SRX3159043,0.1757115488
SRX3159045,0.1629751697
SRX3159047,0.3693054174
SRX3159048,-0.2972073908
SRX3159049,0.0345040666
SRX3159050,-0.11341148940000001
SRX3159051,0.1695008963
SRX3159052,0.3871574766
SRX3159053,0.2894836763
SRX3159054,0.2522730556
SRX3159055,-0.1686614227
SRX3159056,-0.013567884
SRX3159057,0.176121714
SRX3159058,-0.111513968
SRX3159060,0.0447528685
SRX3159061,-0.0438559792
SRX3159062,0.11323041780000001
SRX3159063,-0.310934961
SRX3159066,-0.3887814632
SRX3159069,-0.8063981386
SRX3159070,-0.3182687471
SRX3159071,-0.2895266976
SRX3159073,-0.2420997862
SRX3159074,-0.1348970092
SRX3159075,-0.115582877
SRX3159076,-0.15242636240000002
SRX3159080,-0.0195075724
SRX3159082,0.2571478796
SRX3159083,-0.3193100155
SRX3159086,-0.1964775147
SRX3159087,-0.1465877204
SRX3159088,0.4316996088
SRX3159089,-0.41863459270000003
SRX3159090,0.0624663374
SRX3159091,0.1605266596
SRX3159092,0.0943315497
SRX3159093,-0.1325417177
SRX3159094,0.0529060379
SRX3159095,0.1767030866
SRX3159096,0.30431606180000004
SRX3159097,0.4777150014
SRX3159098,0.0032714165000000003
SRX3159099,-0.1100238541
SRX3158988,-0.0164465089
SRX3158989,-1.3619213297
SRX3158990,-0.7933394025
SRX3158991,-1.374819977
SRX3158992,-0.2523497795
SRX3158996,0.2687962883
SRX3644656,-0.23188387740000002
SRX3644657,-0.0013842244
SRX3644658,0.23326810180000002
SRX3644659,0.0181060736
SRX3644660,0.2010756588
SRX3644661,0.1909281176
SRX3644662,0.10427758370000001
SRX3644663,-0.2594361132
SRX3644664,0.0970673672
SRX3644665,-0.0649329071
SRX3644666,0.0200145724
SRX3644667,-0.009135412800000001
SRX3644668,0.7285758212
SRX3644669,0.0351388212
SRX3644670,0.26051080120000003
SRX3644671,0.2058901326
SRX3644672,-0.31269774850000004
SRX3644673,-0.2980181943
