,iscR
Cr_1,0.0053209436760090255
Cr_2,0.01116923277743305
Cr_3,0.015310136909088612
Cr_4,0.019805641162966944
Cr_5,0.016817017378075918
Cr_6,0.012524876819880815
Fe_1,-0.014620601961523741
Fe_2,-0.057271965983880464
Fe_3,-0.11587868305103445
Fe_4,-0.18404561782444284
Fe_5,-0.2460454617095696
Fe_6,-0.2897088758661248
Cd_1,0.00268124325425176
Cd_2,0.0039006956968492814
Cd_3,0.002720182970971438
Cd_4,0.001654067953474023
Cd_5,-0.002953540914149988
Cd_6,-0.0013056990761659115
Zn_1,-0.004307236354042524
Zn_2,-0.0201225690473357
Zn_3,-0.025581727273272226
Zn_4,-0.015424063998836038
Zn_5,-0.009716545979146876
Zn_6,-0.0059843694455766205
Cu_1,0.006164649462211807
Cu_2,0.018242483788121024
Cu_3,0.02851705198244882
Cu_4,0.03538043848894384
Cu_5,0.04987468578374449
Cu_6,0.0657792684888643
Pb_1,0.01678618092917531
Pb_2,0.03110667314774888
Pb_3,0.04263735709293761
Pb_4,0.05559025312352301
Pb_5,0.07180845337667606
Pb_6,0.08649101847774708
