,A,PhoP
R2,,0.0902444427703013
xmin,,-2.951450304
xmid,,0.9844224800936894
xmax,,2.05661111
ystart,,0.24720593702769023
yend,,9.843471317883909
control__wt_glc__1,-0.2050479393,0.002265125
control__wt_glc__2,0.2050479393,-0.002265125
fur__wt_dpd__1,-7.0656582897,-0.269050034
fur__wt_dpd__2,-7.8210078913,-0.345297018
fur__wt_fe__1,1.1112047122,0.037620397
fur__wt_fe__2,0.7084350128,0.063276181
fur__delfur_dpd__1,-5.9819317612,-0.085930715
fur__delfur_dpd__2,-6.0984721951,-0.20578135900000002
fur__delfur_fe2__1,-0.9018501233,0.227994669
fur__delfur_fe2__2,-0.7906581233000001,0.24507863300000002
acid__wt_ph5__1,-0.0662185211,-0.032865916
acid__wt_ph5__2,-0.0917131216,0.002809724
acid__delgadx_ph5__2,0.9120528686,0.033163416
acid__delgadw_ph5__1,-0.26828653620000004,0.126899482
acid__delgadw_ph5__2,-0.44653816690000003,0.143566565
acid__delgade_ph5__1,0.49441950830000003,0.236191805
acid__delgade_ph5__2,0.1139826048,0.169283767
oxidative__wt_pq__1,-0.3649732094,0.5892676450000001
oxidative__wt_pq__2,-0.836991005,0.595329357
oxidative__deloxyr_pq__1,-1.292197569,0.627324846
oxidative__deloxyr_pq__2,-1.608628645,0.580626748
oxidative__delsoxr_pq__1,-1.8871038511,0.502277942
oxidative__delsoxr_pq__2,-1.9818023648,0.514553467
oxidative__delsoxs_pq__1,-2.0906318496,0.6008520030000001
oxidative__delsoxs_pq__2,-2.5876468322,0.6610660850000001
nac_ntrc__wt_csn__1,6.2526685368,1.144246288
nac_ntrc__wt_csn__2,5.900067709,1.154755079
nac_ntrc__wt_cytd__1,12.1093727036,1.994462517
nac_ntrc__wt_cytd__2,12.2156351915,2.05661111
nac_ntrc__wt_gln__1,10.0621725749,1.980148744
nac_ntrc__wt_gln__2,10.7400342294,1.9776625
nac_ntrc__bw_delnac_csn__1,-2.3463792963,0.39365751800000004
nac_ntrc__bw_delnac_csn__2,-2.2860885665,0.272297334
nac_ntrc__bw_delnac_cytd__1,5.2218081167,1.13095531
nac_ntrc__bw_delnac_cytd__2,4.8223266484,1.102631236
nac_ntrc__bw_delnac_gln__1,5.3958812174,1.2848139490000001
nac_ntrc__bw_delnac_gln__2,5.6168805961,1.2696616600000001
nac_ntrc__bw_delnac_nh4__1,0.6563087419,0.00036883200000000004
nac_ntrc__bw_delnac_nh4__2,-0.3468021204,-0.089250073
misc__wt_no_te__1,-2.5585353558,0.233873717
misc__wt_no_te__2,-2.3196868466,0.08725743
misc__bw_delcbl__1,-0.634463942,-0.45628072300000005
misc__bw_delcbl__2,-1.0671861911,-0.361593433
misc__bw_delfabr__1,-0.3687097908,-0.54099699
misc__bw_delfabr__2,-0.3274163825,-0.5560542270000001
misc__bw_delfadr__1,-0.6981248284,-0.38182498200000003
misc__bw_delfadr__2,-0.9792349746000001,-0.295170146
misc__nitr_031__1,-2.8294205862,0.057152163000000006
omics__wt_glu__1,0.3299363433,1.176615804
omics__wt_glu__2,-0.1838265349,1.213202371
omics__wt_gly__1,1.0344190577,0.8975636180000001
omics__wt_gly__2,0.6232663679,0.8458161120000001
