,tnaC
Cr_1,-0.0021232189570842305
Cr_2,0.0031088102083537657
Cr_3,0.014996000025778238
Cr_4,0.026976364490209563
Cr_5,0.03947823270447744
Cr_6,0.054711549749961036
Fe_1,0.0025946936718166205
Fe_2,0.038810375367937085
Fe_3,0.08695573448097386
Fe_4,0.11178770278638944
Fe_5,0.1282030542194967
Fe_6,0.1438405241684694
Cd_1,-0.004784062175253295
Cd_2,-0.002534529359718817
Cd_3,0.005524456574134288
Cd_4,0.016717978779721983
Cd_5,0.018939452214306412
Cd_6,0.022942538273631272
Zn_1,-0.000897456155879993
Zn_2,0.011416312521297585
Zn_3,0.024061159021728142
Zn_4,0.03616443431593208
Zn_5,0.041782404535680634
Zn_6,0.04347574189829295
Cu_1,0.001511849413585343
Cu_2,0.013630688015319114
Cu_3,0.026628460971394558
Cu_4,0.034627091083557535
Cu_5,0.04098742582643733
Cu_6,0.0456196312888139
Pb_1,0.00856085485509084
Pb_2,0.016054930706051854
Pb_3,0.020992489264601854
Pb_4,0.022696028325076247
Pb_5,0.0288675462971451
Pb_6,0.033937976457068975
