,-0.13925223873029588,-0.123779767760263,-0.10830729679023013,-0.09283482582019725,-0.07736235485016438,-0.0618898838801315,-0.04641741291009863,-0.03094494194006575,-0.015472470970032876,0.0,0.015472470970032876,0.03094494194006575,0.04641741291009863,0.0618898838801315,0.07736235485016438,0.09283482582019725,0.10830729679023013,0.12377976776026303,0.13925223873029588,0.15472470970032873
thresh,-0.1469884742153123,0.1469884742153123,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,2,8,37,190,779,2486,807,151,36,15,2,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
