,serB
Cr_1,-0.0007966487292311955
Cr_2,0.0021384254544960907
Cr_3,0.009472988356845123
Cr_4,0.012815073336506534
Cr_5,0.013605931940731794
Cr_6,0.01431259494759148
Fe_1,-0.004241988396869948
Fe_2,-0.007902049763038974
Fe_3,-0.0034152769292898053
Fe_4,-0.0026325806157096497
Fe_5,-0.002221551516564702
Fe_6,0.0002697322987243108
Cd_1,0.0003903282149373627
Cd_2,0.003008768125686407
Cd_3,0.005324117470974811
Cd_4,0.00794094767713537
Cd_5,0.0025983398775347765
Cd_6,0.0015588110018324695
Zn_1,-0.005061442762010818
Zn_2,-0.003095372801002064
Zn_3,0.008520346138943292
Zn_4,0.02003392102836024
Zn_5,0.02409647137111695
Zn_6,0.02546907977203201
Cu_1,0.00399517555655557
Cu_2,0.009283198318655659
Cu_3,0.014346053134058644
Cu_4,0.020009840847150604
Cu_5,0.02742351380974946
Cu_6,0.032890067395520806
Pb_1,0.0010745263936132669
Pb_2,0.0058485368437573215
Pb_3,0.012082810740662791
Pb_4,0.01806273731439791
Pb_5,0.0235152981295154
Pb_6,0.032130692639450266
