sample,BSU_misc_RNA_34
LBexp_1,12.3287
LBexp_2,13.0151
LBexp_3,12.5046
LBtran_1,12.0809
LBtran_2,12.1908
LBtran_3,12.1338
LBstat_1,10.2476
LBstat_2,10.3242
LBstat_3,10.1953
LBGexp_1,12.901
LBGexp_2,11.8785
LBGexp_3,11.5609
LBGtran_2,11.8048
LBGtran_3,12.7307
LBGstat_1,10.6558
LBGstat_2,12.4408
LBGstat_3,10.9509
S0_1,11.6757
S0_2,12.1733
S0_3,11.7527
S1_1,11.3567
S1_2,11.338
S1_3,11.2169
S2_1,10.4567
S2_2,10.1917
S2_3,10.5358
S3_1,11.9574
S3_2,10.6161
S4_1,13.2002
S4_2,11.5753
S4_3,11.9281
S5_1,11.2106
S5_2,10.8722
S5_3,11.3252
S6_1,10.0541
S6_2,8.574
S6_3,10.2307
S6/t_1,10.2622
S6/t_2,8.7191
S6_4,10.4853
S6_5,10.9443
S6_6,11.1058
S7_4,10.7051
S7_5,10.4552
S7_6,10.3847
S8_4,10.1908
S8_5,9.9578
G135_1,10.7715
G135_3,9.3649
G150_1,10.4488
G150_2,11.2354
G150_3,10.4625
G180_1,10.6784
G180_2,10.8155
G180_3,10.1679
C30_1,10.512
C30_2,10.7434
C90_1,12.6318
C90_2,12.8004
BI_1,10.6229
BI_2,10.9814
BC_2,10.4365
BC/t_1,10.4364
BC/t_2,10.898
BC_1,10.1214
Sw_1,9.8771
Sw_2,9.8976
BT_1,12.1498
BT_2,11.4173
B36_1,12.0023
B36_2,11.3753
B60_1,11.2497
B60_2,12.3822
M9exp_1,13.9775
M9exp_2,13.7908
M9exp_3,13.5374
M9tran_1,13.1924
M9tran_2,12.9083
M9tran_3,13.5208
M9stat_1,9.136
M9stat_2,8.8282
M9stat_3,8.5691
M+G_1,12.5933
M+G_2,13.2986
M+G_3,12.8963
Glu_1,14.1205
Glu_2,13.6373
Glu_3,13.9045
Fru_1,13.3732
Fru_2,13.8107
Fru_3,13.11
Mal_1,11.6583
Mal_2,12.2316
Mal_3,12.1415
G+S_2,12.1228
G+S_3,12.7276
Pyr_1,11.6841
Pyr_2,12.1047
Pyr_3,12.0183
Gly_1,11.0396
Gly_2,11.8532
Gly_3,10.2903
Glucon_1,12.763
Glucon_2,12.7422
Glucon_3,12.1911
aero_1,13.8475
aero_2,12.4968
aero_3,12.9162
nit_1,13.3172
nit_2,13.7318
nit_3,12.8068
ferm_1,13.0162
ferm_2,12.9786
ferm_3,13.7402
T-5.40H_1,13.5553
T-4.40H_1,13.1123
T-3.40H_1,13.2601
T-2.40H_1,13.1808
T-1.40H_1,13.0413
T-1.10H_1,12.9845
T-0.40H_1,12.5385
T0.0H_1,12.0397
T0.30H_1,8.9494
T1.0H_1,9.073
T1.30H_1,9.0138
T2.0H_1,9.0211
T2.30H_1,9.8687
T3.0H_1,9.6876
T3.30H_1,10.1012
T4.0H_1,9.8555
T5.0H_1,9.577
HPh_1,13.379
HPh_2,13.2141
HPh_3,13.5176
LPh_1,13.2161
LPh_2,13.961
LPh_3,13.1726
LPhT_1,11.2934
LPhT_2,11.3013
LPhT_3,11.2837
SMMPr_1,13.0322
SMMPr_2,12.7591
SMMPr_3,12.8502
HiTm_1,11.5646
HiTm_2,12.7806
HiTm_3,11.793
LoTm_1,12.1903
LoTm_2,12.4256
LoTm_3,12.285
HiOs_1,12.4682
HiOs_2,12.0627
HiOs_3,12.2261
BMM_1,13.664
BMM_2,13.4249
BMM_3,13.1535
Heat_1,13.2558
Heat_2,13.0021
Heat_3,12.7122
Cold_1,12.0641
Cold_2,11.2619
Cold_3,10.365
Etha_1,9.7378
Etha_2,9.3304
Etha_3,9.5876
SMM_1,13.5752
SMM_2,13.4158
SMM_3,13.5064
Salt_1,11.6838
Salt_2,11.7123
Salt_3,11.9439
Mt0_1,11.8357
Mt0_3,11.9242
M0t45_1,12.1416
M0t45_2,11.9296
M0t45_3,12.6416
M0t90_1,10.1867
M0t90_2,11.2132
M0t90_3,11.4612
M40t45_1,11.738
M40t45_2,11.61
M40t45_3,12.5279
M40t90_1,10.2393
M40t90_2,10.4106
M40t90_3,11.3715
dia0_1,11.4119
dia0_2,12.2071
dia0_3,12.468
dia5_1,11.5415
dia5_2,12.1903
dia5_3,12.5938
dia15_1,13.7117
dia15_2,13.8353
dia15_3,12.6157
Diami_1,11.5988
Diami_2,11.4776
Diami_3,11.3398
Paraq_1,10.8436
Paraq_2,11.491
Paraq_3,9.7357
H2O2_1,11.2587
H2O2_2,11.6073
H2O2_3,11.042
Oxctl_1,10.435
Oxctl_2,10.5389
Oxctl_3,11.3343
GM-0.1_1,13.209
GM-0.2_1,13.3238
GM+5_1,12.8153
GM+15_1,13.0815
GM+25_1,13.9806
GM+45_1,14.0541
GM+60_1,13.8572
GM+90_1,13.7221
GM+120_1,12.7829
GM+150_1,13.3106
GM-0.1_2,13.8394
GM-0.2_2,14.041
GM+5_2,13.4834
GM+10_2,12.9991
GM+15_2,12.9781
GM+25_2,13.8638
GM+45_2,13.0837
GM+60_2,12.8901
GM+90_2,13.7891
GM+150_2,12.774
GM-0.1_3,13.7582
GM-0.2_3,13.6047
GM+5_3,13.3341
GM+10_3,12.095999999999998
GM+15_3,12.7445
GM+25_3,13.0624
GM+45_3,12.5172
GM+60_3,12.8123
GM+90_3,13.7703
GM+120_3,12.9979
GM+150_3,13.7129
MG-0.1_1,12.8933
MG+5_1,13.6877
MG+10_1,14.5364
MG+15_1,14.0504
MG+25_1,14.1002
MG+45_1,13.0272
