,A,PcaR
R2,,0.11037113282355226
xmin,,-4.888724357500001
xmid,,-0.2774925905302141
xmax,,3.481319297333333
ystart,,-0.016954378374336887
yend,,20.236110979468187
ALE:GalactoseA5:1.0,-0.0967030960965353,0.1400845535000003
ALE:GalactoseA5:2.0,-0.3386921500223162,-0.0015932804999998
ALE:GalactoseA6:1.0,0.8282686791946364,-0.7420673544999996
ALE:GalactoseA6:2.0,1.0291560736206378,-0.8366284114999996
ALE:GalactoseA8:1.0,-0.2364619341075403,-0.8716599804999996
ALE:GalactoseA8:2.0,0.2185978956319342,-1.0426996575
ALE:IL_Control:1.0,-0.2978162143323182,0.1165095585000006
ALE:IL_Control:2.0,0.0283119706563034,0.6136421475000002
ALE:IL_Control:3.0,0.364052254671379,-0.4176931745000001
ALE:IL_Control:4.0,-0.0945480120604605,-0.3124585314999999
ALE:IL_TEOH_OAc:1.0,-0.7075923868002478,-0.4105980014999995
ALE:IL_TEOH_OAc:2.0,-0.8479552774562975,-0.0790694025
ALE:IL_TEA_HS:1.0,1.6266079463262697,-0.7362277275000002
ALE:IL_TEA_HS:2.0,-0.009084043691955,0.2094981155000006
ALE:IL_Mixed:1.0,-0.0720428011485529,-0.0735318805
ALE:IL_Mixed:2.0,-0.2735551145853854,0.0300697945000001
ALE:IL_PP5350:1.0,-0.7794634941606974,-0.2604524774999994
ALE:IL_PP5350:2.0,-1.700670036866364,-0.3433110754999999
ALE:IL_T8:1.0,-0.297863074564786,-0.2048058604999996
ALE:IL_T8:2.0,-0.6330641305401297,-0.2698680384999994
ALE:IL_T9:1.0,-0.6653265853569718,1.0187977435000004
ALE:IL_T9:2.0,-1.0479100764095153,0.4601487505000001
ALE:IL_Control2:1.0,-0.099984235306641,-0.6669693154999994
ALE:IL_Control2:2.0,-0.3815986592347455,-0.4092506624999998
ALE:IL_Glc+Ace:1.0,-2.562510828056467,-0.1830076644999998
ALE:IL_Glc+Ace:2.0,-1.9104039898745413,-0.2250898635
ALE:XyloseA1:1.0,0.6567552071295732,-0.9127388824999992
ALE:XyloseA1:2.0,1.0270986021918531,-0.5165314004999999
ALE:XyloseA2:1.0,0.1750032061387584,-0.4847470794999999
ALE:XyloseA2:2.0,1.0137769924906452,-0.5915745164999997
ALE:XyloseA3:1.0,1.0727242187137334,-0.3864713184999999
ALE:XyloseA3:2.0,1.4885753533748969,-0.4449404684999996
ALE:XyloseA4:1.0,0.715576024257505,-0.5250141184999997
ALE:XyloseA4:2.0,0.5734876428034663,-0.5033658454999994
Aromatic:Coumarate:1.0,32.06945202470278,0.355669378
Aromatic:Coumarate:2.0,33.412975166292284,0.0049186999999992
Aromatic:Coumarate:3.0,33.85170101021701,0.1876238189999997
Aromatic:Coumarate+ferulate:1.0,34.60488555717365,0.952663963
Aromatic:Coumarate+ferulate:2.0,34.58352288998841,1.0944322019999992
Aromatic:Coumarate+ferulate:3.0,33.60053156249059,1.197018257
Aromatic:Ferulate:1.0,37.74922642932715,1.25062227
Aromatic:Ferulate:2.0,37.49450986559113,1.0007543609999994
Aromatic:Ferulate:3.0,35.85697407177849,0.6745393339999994
Aromatic:Glucose:1.0,-0.277579029652958,0.1101265639999997
Aromatic:Glucose:2.0,-1.0440295747453685,-0.0547702070000006
Aromatic:Glucose:3.0,1.3216086044014683,-0.0553563569999999
Bioreactor1:24h:1.0,-0.8606642154276135,0.1030382034999997
Bioreactor1:24h:2.0,0.8606642163026419,-0.1030382035000005
Bioreactor2:S_0min:1.0,-0.5251759366198452,-0.0493342513333332
Bioreactor2:S_15min:1.0,-1.5000324357026245,0.1462293176666667
Bioreactor2:P1_15min:1.0,-1.3141903521096574,0.4003288026666665
Bioreactor2:P3_15min:1.0,-0.8904255173349104,0.1083627786666667
Bioreactor2:P5_15min:1.0,-0.2862883611011969,-0.6995117733333331
Bioreactor2:S_1h:1.0,-1.0607147559214478,0.3382734036666668
Bioreactor2:S_3h:1.0,-1.4049502117815482,0.4744969176666664
Bioreactor2:S_9h:1.0,-0.952080952051502,0.4119624176666665
Bioreactor2:S_25h:1.0,-0.9185351357112264,0.2043580206666666
Bioreactor2:P1_25h:1.0,-1.3143963622802164,0.1102560116666664
