,A,Crp
R2,,0.07975697961004913
xmin,,-9.852476477
xmid,,0.0960834110605376
xmax,,1.6003325529999999
ystart,,0.584781080901668
yend,,10.557731235665532
control__wt_glc__1,-0.010987372700000001,0.012478646000000001
control__wt_glc__2,0.010987372700000001,-0.012478646000000001
fur__wt_dpd__1,-1.8203785242000001,0.077574131
fur__wt_dpd__2,-1.7596101015,-0.090682171
fur__wt_fe__1,-1.9023887642,-0.030513673
fur__wt_fe__2,-1.2911803547,0.05819072
fur__delfur_dpd__1,-1.4261235822,-0.105981984
fur__delfur_dpd__2,-2.0827497837,-0.22346684100000003
fur__delfur_fe2__1,-1.1129794754,0.436429913
fur__delfur_fe2__2,-0.9363624213,0.367563393
acid__wt_ph5__1,-2.0734525095,0.345522573
acid__wt_ph5__2,-2.1572800745,0.343136463
acid__delgadx_ph5__2,-1.8625871125,0.33938771300000004
acid__delgadw_ph5__1,-1.4379515279000001,0.383863793
acid__delgadw_ph5__2,-1.2780817691,0.33986178300000003
acid__delgade_ph5__1,-1.4661211123,0.43240872300000005
acid__delgade_ph5__2,-1.6039844864,0.482436193
oxidative__wt_pq__1,-0.23979942580000002,0.17662370300000002
oxidative__wt_pq__2,-0.44122139530000004,0.24038529300000003
oxidative__deloxyr_pq__1,-1.9636459389,0.513155013
oxidative__deloxyr_pq__2,-1.7635725783,0.536337303
oxidative__delsoxr_pq__1,-1.1789162839,0.334672533
oxidative__delsoxr_pq__2,-0.8504472710000001,0.387059873
oxidative__delsoxs_pq__1,-0.2147430575,0.513462963
oxidative__delsoxs_pq__2,0.3390874586,0.5104807530000001
nac_ntrc__wt_csn__1,0.4576215463,-0.07279683
nac_ntrc__wt_csn__2,0.43173508730000004,-0.093243951
nac_ntrc__wt_cytd__1,-0.2593513125,-0.043119613
nac_ntrc__wt_cytd__2,0.1540720867,-0.07348926
nac_ntrc__wt_gln__1,0.420557907,0.16383650300000002
nac_ntrc__wt_gln__2,0.8383659362,0.11651884600000001
nac_ntrc__bw_delnac_csn__1,0.4755265208,0.16921202300000002
nac_ntrc__bw_delnac_csn__2,-0.5696388773000001,0.03216219
