,yqiC
Cr_1,-0.0038908142686951102
Cr_2,0.0025572679484546397
Cr_3,0.007290882548317471
Cr_4,0.01665382724568527
Cr_5,0.01535033446905238
Cr_6,0.010253553792481256
Fe_1,-0.015971574949127203
Fe_2,-0.04113128029848767
Fe_3,-0.06543765429906591
Fe_4,-0.08310950035888352
Fe_5,-0.0849574868186898
Fe_6,-0.1088959584872721
Cd_1,-0.00045939453463951643
Cd_2,0.005935831253674075
Cd_3,0.011198918678605608
Cd_4,0.017770890973947618
Cd_5,0.01969354782789921
Cd_6,0.02095632096949981
Zn_1,0.00025372438657587644
Zn_2,-0.001806598822172037
Zn_3,0.006079861652755592
Zn_4,0.007559822088056758
Zn_5,0.013699932965850668
Zn_6,0.020222227992124683
Cu_1,-0.0006540100594042901
Cu_2,-0.0007537375829506246
Cu_3,0.0043987830657822025
Cu_4,0.00353302669097145
Cu_5,0.005245564826955314
Cu_6,0.011417299639756072
Pb_1,-0.000996364467477232
Pb_2,0.002970431577569016
Pb_3,0.010376080814479369
Pb_4,0.0231338859268082
Pb_5,0.03467744348439852
Pb_6,0.048220003606589804
