,yagJ
Cr_1,-0.0047770256354478895
Cr_2,0.004782844060029802
Cr_3,0.02025048316843834
Cr_4,0.02048102193268884
Cr_5,0.016033132127800095
Cr_6,0.004307171817998662
Fe_1,0.004902744309149095
Fe_2,-0.001344579786485965
Fe_3,-0.0009688237594204617
Fe_4,0.01873970476335136
Fe_5,0.05083417268104624
Fe_6,0.05580645699617082
Cd_1,0.01623932478644446
Cd_2,0.008743017753667193
Cd_3,0.020152142600175667
Cd_4,0.029261275962736838
Cd_5,0.06594394051276845
Cd_6,0.04633697002677356
Zn_1,0.0650203338584205
Zn_2,0.0670917637962292
Zn_3,0.2716360797925654
Zn_4,0.3392453984209985
Zn_5,0.3824814601524555
Zn_6,0.5039864234899846
Cu_1,0.0023890659161139114
Cu_2,0.007517548334776558
Cu_3,0.008841110305560158
Cu_4,0.009301573232109957
Cu_5,0.006552848359870046
Cu_6,0.0086885555722486
Pb_1,0.004554972823532506
Pb_2,0.0045969213880821145
Pb_3,0.006011596610240647
Pb_4,0.00042367689903346036
Pb_5,-0.009090202524020305
Pb_6,-0.012710872587028963
