,mngR
Cr_1,0.004738388420128554
Cr_2,0.010212495534984262
Cr_3,0.016423982510040458
Cr_4,0.020953189331315843
Cr_5,0.02569057043895528
Cr_6,0.028674511220317313
Fe_1,-0.006697522802384407
Fe_2,-0.01305850633126225
Fe_3,-0.00816663357854602
Fe_4,0.00046995711925859455
Fe_5,0.011729630649843469
Fe_6,0.019102004093034503
Cd_1,0.004056646943298517
Cd_2,0.007713227107063194
Cd_3,0.012272637660551032
Cd_4,0.015345696246577162
Cd_5,0.011172218244974243
Cd_6,0.014369914329043559
Zn_1,0.0008895538811932355
Zn_2,0.01034666793470459
Zn_3,0.0246940727749885
Zn_4,0.04467763517055463
Zn_5,0.0625627504436005
Zn_6,0.07671924093250072
Cu_1,0.002062707007318609
Cu_2,0.006846579825530454
Cu_3,0.010718987708554228
Cu_4,0.015218637831473512
Cu_5,0.02181761395904259
Cu_6,0.028179528170287144
Pb_1,4.3232524288985906e-05
Pb_2,0.006746327756345374
Pb_3,0.010263896214814343
Pb_4,0.014053693248851442
Pb_5,0.02128447597508884
Pb_6,0.03157631299154145
