,hisQ
Cr_1,0.004361930845702989
Cr_2,0.006271309385643047
Cr_3,0.00867327157293472
Cr_4,0.014691307211271184
Cr_5,0.017697476649431405
Cr_6,0.019923949941429615
Fe_1,-0.014818715044654629
Fe_2,-0.038167779312406176
Fe_3,-0.06399829449743495
Fe_4,-0.08770195445697904
Fe_5,-0.10968001295805846
Fe_6,-0.12471365035528953
Cd_1,-0.0006148938551142807
Cd_2,0.001802251678026718
Cd_3,0.001399072730635094
Cd_4,0.0018864926167215465
Cd_5,-0.0019814595198351013
Cd_6,-0.001500728268171907
Zn_1,-0.005840203299713092
Zn_2,-0.005328591999794693
Zn_3,-0.004631090907568196
Zn_4,-0.0009305149977341359
Zn_5,0.004863445471507512
Zn_6,0.003439398140085181
Cu_1,0.006099895779530916
Cu_2,0.009603004253184545
Cu_3,0.014960445971185288
Cu_4,0.01818377512070337
Cu_5,0.023641716246753413
Cu_6,0.030720740930379343
Pb_1,0.002581632715048386
Pb_2,-0.0028171522604028484
Pb_3,-0.004143754176327738
Pb_4,-0.0014980749913270225
Pb_5,0.010106471248809321
Pb_6,0.018810543949364652
