,sdaA
Cr_1,0.003102988401405794
Cr_2,0.005983545478274802
Cr_3,0.01182182862636186
Cr_4,0.015080649266433
Cr_5,0.016518922558355263
Cr_6,0.017092982107348997
Fe_1,-0.007853576129928885
Fe_2,-0.021124497169127246
Fe_3,-0.037299157124004965
Fe_4,-0.05931747853967509
Fe_5,-0.07951077198355137
Fe_6,-0.1013267709434386
Cd_1,0.003880541951602747
Cd_2,0.0112292018143885
Cd_3,0.015634187796963867
Cd_4,0.020168094386103737
Cd_5,0.02057697502142293
Cd_6,0.025102208000738167
Zn_1,-0.008679089937122457
Zn_2,-0.015523283527771966
Zn_3,-0.02117796859180221
Zn_4,-0.02452637631462018
Zn_5,-0.02105654487126931
Zn_6,-0.027304389012276352
Cu_1,0.00022134197099689347
Cu_2,0.004294679343559678
Cu_3,0.012160137157013235
Cu_4,0.019182653221063058
Cu_5,0.02823229882249686
Cu_6,0.0383810066777435
Pb_1,0.00583504406531365
Pb_2,0.00997680967268969
Pb_3,0.01938266249399049
Pb_4,0.02773140745329138
Pb_5,0.035995076112432564
Pb_6,0.046152998019309915
