,A,malT
R2,,0.6850840912505631
xmin,,2.30968655314752
xmid,,6.836282937501179
xmax,,10.259717355502199
ystart,,-9.59287256950396
yend,,8.985166311744045
control__wt_glc__1,-0.344072500022,8.39089730464875
control__wt_glc__2,0.344072500022,8.51610478932973
fur__wt_dpd__1,-8.61692821653,6.15531713016974
fur__wt_dpd__2,-8.154512546889999,5.92130150503039
fur__wt_fe__1,-2.68392712562,7.881463078388981
fur__wt_fe__2,-2.06951254208,7.99513637417641
fur__delfur_dpd__1,-9.35595115798,6.4106550444305395
fur__delfur_dpd__2,-9.12714814359,6.56716147062857
fur__delfur_fe2__1,-1.85147092526,8.19462244721117
fur__delfur_fe2__2,-2.06200668019,8.10612532825596
acid__wt_ph5__1,-4.3612277596,7.686354084237981
acid__wt_ph5__2,-4.4158005433,7.671941963879731
acid__delgadx_ph5__1,-4.45660252273,7.92128763659168
acid__delgadx_ph5__2,-3.7996678350699997,7.8284203684936795
acid__delgadw_ph5__1,-3.6612675504900003,7.85407072125486
acid__delgadw_ph5__2,-3.4767573890099994,7.833110055151451
acid__delgade_ph5__1,-4.36005778773,7.778635657339589
acid__delgade_ph5__2,-4.3476498545,7.80113781975463
oxidative__wt_pq__1,-7.03103282542,6.11968880346383
oxidative__wt_pq__2,-6.3283230469700005,6.338869802472369
oxidative__deloxyr_pq__1,-6.43207427834,6.633104426926559
oxidative__deloxyr_pq__2,-6.42889104268,6.61476743541029
oxidative__delsoxr_pq__1,-8.097445602719999,6.41387030838876
oxidative__delsoxr_pq__2,-8.598606177819999,6.2963231426318895
oxidative__delsoxs_pq__1,-7.14520905041,6.259730880136981
oxidative__delsoxs_pq__2,-6.45993536484,6.29649542515326
nac_ntrc__wt_csn__1,-8.49219943104,7.18087848579817
nac_ntrc__wt_csn__2,-8.290078587910001,7.22752848947382
nac_ntrc__wt_cytd__1,-6.95704790737,7.59372682420563
nac_ntrc__wt_cytd__2,-6.765164993099999,7.57431036584725
nac_ntrc__wt_gln__1,-8.57994360793,7.42162295784047
nac_ntrc__wt_gln__2,-9.13374552964,7.3924782178546
nac_ntrc__bw_delnac_csn__1,-8.89427061063,6.37701288114663
nac_ntrc__bw_delnac_csn__2,-9.218600902010001,6.275938560495191
nac_ntrc__bw_delnac_cytd__1,-8.88283593715,7.57544380059976
nac_ntrc__bw_delnac_cytd__2,-8.39646081707,7.40039521680488
nac_ntrc__bw_delnac_gln__1,-10.258579737,6.903437741574731
