,dacB
Cr_1,0.0012399992906822414
Cr_2,0.002597313268776144
Cr_3,0.008416012187308608
Cr_4,0.013512678000672143
Cr_5,0.017398498973020926
Cr_6,0.021372222288694055
Fe_1,-0.010238845373709195
Fe_2,-0.02735609493103547
Fe_3,-0.040044216295322274
Fe_4,-0.04958918131468044
Fe_5,-0.05834840502108157
Fe_6,-0.061903058588944376
Cd_1,-0.0017686623723242934
Cd_2,-0.0011017570061547775
Cd_3,0.0019625242650132546
Cd_4,0.007818307680094784
Cd_5,0.008227842029533996
Cd_6,0.01334211792584635
Zn_1,-0.0005203352919848102
Zn_2,0.0005880030307106682
Zn_3,0.007466904638614774
Zn_4,0.01770212164140355
Zn_5,0.027437321800929487
Zn_6,0.03556856050813401
Cu_1,0.0011530684231125248
Cu_2,0.00031800458816821594
Cu_3,0.0009112598006889807
Cu_4,0.004084695061347449
Cu_5,0.008898077005085672
Cu_6,0.0196861688061429
Pb_1,0.00622172886590524
Pb_2,0.012045259014215414
Pb_3,0.019323510602872917
Pb_4,0.03025133549236146
Pb_5,0.03804852468459382
Pb_6,0.0493142267299336
