,yhfK
Cr_1,-0.002185762420538396
Cr_2,-0.0017852843566030273
Cr_3,-0.003635678962115463
Cr_4,-0.003341593534044371
Cr_5,-0.0008362583735314138
Cr_6,-0.0012982562636617435
Fe_1,-0.009107650401747514
Fe_2,-0.0346228809701087
Fe_3,-0.06114822668522709
Fe_4,-0.09016991404406978
Fe_5,-0.10671086790779924
Fe_6,-0.11360271808158595
Cd_1,-0.0010954310807794528
Cd_2,-0.005594701259555585
Cd_3,0.006528342067237052
Cd_4,0.017569347627290337
Cd_5,0.011019811870922713
Cd_6,0.022282350879533716
Zn_1,0.00025975533008844217
Zn_2,0.0010359293946537442
Zn_3,0.008387524946842636
Zn_4,0.023826942143596576
Zn_5,0.038773114183787136
Zn_6,0.053758789505477016
Cu_1,0.006809681812107754
Cu_2,0.0142929242777975
Cu_3,0.022213687503276312
Cu_4,0.029397318301171423
Cu_5,0.03923360661256898
Cu_6,0.04921389299099812
Pb_1,-8.88210389806006e-06
Pb_2,0.002120031956735132
Pb_3,0.011432555613932374
Pb_4,0.0264362007880236
Pb_5,0.03990304822797491
Pb_6,0.05845937115274799
