,yneF
Cr_1,0.0009716790925008466
Cr_2,-0.005840593121839455
Cr_3,-0.009880064092774948
Cr_4,-0.004430845175821303
Cr_5,-0.0021022458835318523
Cr_6,-0.004916538563033351
Fe_1,-0.02044792018362077
Fe_2,-0.04343648669246632
Fe_3,-0.06997964203733947
Fe_4,-0.09714221557616824
Fe_5,-0.11489645364947887
Fe_6,-0.1330369236229348
Cd_1,0.005906878371863305
Cd_2,0.0107298058496071
Cd_3,0.018561368528272285
Cd_4,0.02323397794898268
Cd_5,0.01908987144161552
Cd_6,0.02517496409384614
Zn_1,-0.14674002104242787
Zn_2,-0.16032204424688135
Zn_3,-0.16026192503196293
Zn_4,-0.1616110565392494
Zn_5,-0.17138420652538852
Zn_6,-0.17182121726430685
Cu_1,0.010195249838371749
Cu_2,0.009989941007668776
Cu_3,0.017078041801872227
Cu_4,0.02544438441723688
Cu_5,0.034000560860206905
Cu_6,0.042718023170087736
Pb_1,0.0045449858593238366
Pb_2,0.012516262217630513
Pb_3,0.03008255856078033
Pb_4,0.04327748485886762
Pb_5,0.05292853557962589
Pb_6,0.0625934221630595
