,A,Lrp,hns
R2,,0.061736649026363555,0.004141228598572466
xmin,,-10.1521245118,-11.2828757996
xmid,,,-2.607208224275112
xmax,,2.3501929199,2.8974495703
ystart,,-7.46536080562775,-0.6319205444760857
yend,,2.32570115919295,1.1971866626983672
SRX1125282,-0.6636848019,0.1917489778,-0.0832222629
SRX1125283,-0.2301094092,-0.0036410337,-0.0215977273
SRX1125284,-0.0390278259,0.0638516938,0.014475031800000001
SRX1125285,-0.11110971310000001,0.1884466547,-0.069698208
SRX1125286,-0.2275133859,0.2606995247,-0.28960489710000004
SRX1125287,-0.1252097591,-0.18787669680000002,-0.2321548066
SRX1125288,-0.5368154011,-0.0850462209,-0.0482583698
SRX1125289,-0.1842637377,0.23201001070000002,-0.2218292502
SRX1125290,-0.1264219901,0.4624908091,-0.0773807522
SRX1125291,-0.323681504,0.5094912821,-0.0678102107
SRX1125292,-0.8044468943,0.42741818940000004,-0.1422065635
SRX1125293,-1.2542852139,-0.011315053200000001,0.2490992528
SRX1125294,1.200500203,-0.1067027569,0.13148063270000002
SRX1125295,0.7598477471,-0.034949130700000004,0.2910135497
SRX1125296,0.7054153103,-0.0507207701,0.1734109775
SRX1125297,0.9735810504,0.0607301561,0.28443055370000003
SRX1125298,-0.12190442700000001,0.6821826714,0.0742654028
SRX1125299,-0.10185354860000001,0.1046706146,0.23033813420000002
SRX5694250,-1.8694616751000002,-0.07686038270000001,-1.3295713452
SRX5694251,-1.0849456156,-0.4184515133,0.6661338201
SRX5694252,-3.1155219986000002,-0.0463286922,-1.732107911
SRX5694253,-1.5142874661999999,0.291528555,0.16751679260000002
SRX5694254,-6.7649193397000005,0.5837445491000001,-0.3087090213
SRX5694255,-1.4167761752999999,-0.5783668051,-1.4290721084
SRX5694256,0.9451920787,-0.3544948952,-0.1462527268
SRX5694257,-3.767291653,-0.0169901278,-0.641073463
SRX5694258,-6.4047706582,-0.19775123900000002,-0.0725217448
SRX5694259,2.1984861026,-1.3513809867,0.4503702694
SRX5694260,-1.8777933586,-0.0936446555,0.1739432252
SRX5694261,-5.6765843998,-0.29484850100000004,-0.6767263614
SRX5694262,-2.7689406002,0.0541041576,-1.031702481
SRX5694263,-1.8018035405,-0.0762063272,0.14700628870000002
SRX5694264,-0.10066963970000001,-0.5672398331,-0.41701238430000004
SRX5694265,-1.9413565945000002,0.053708981100000004,-0.1614027818
SRX5694267,-4.918436018,0.1920871912,0.3006681781
SRX5694268,0.0169084402,0.0033290340000000002,-0.0815327794
SRX5694269,0.260333107,-0.2368879814,0.0328928135
SRX5694271,-0.1906413172,-0.2100487493,-0.10642851340000001
SRX5694273,-2.0494761474,-1.9313953898,0.6464433037
SRX5694274,-3.8555022591,-0.2188764248,-0.0005954383
SRX5694275,-5.1461855083,-1.5745697947,-0.7840740106
SRX5694276,2.2582430197,-0.7282929664000001,0.7946358242
SRX5694277,-2.2305581403,0.2102835278,-0.3573271824
SRX5694278,2.3947665484,-0.34232132660000003,1.536242647
SRX5694279,0.13514305570000001,-0.0360912475,-0.206662584
SRX5694280,-8.1313122685,-0.46139139360000003,0.48643795360000003
SRX5694281,-0.0866046769,-0.0707081911,-0.5867027299
SRX5694282,-1.018025199,-0.9188570988,1.5495831874000001
SRX5694283,-4.4605309745,-0.022524302700000002,0.5062316505
SRX5694284,-4.4094989428,-0.20139311000000001,0.2590986018
SRX5694285,-1.7855698272,-0.7064351524,0.0087843152
SRX5694286,-2.5674336812,-1.1960682364,-0.3992162387
SRX5694287,-4.27647495,0.7780823415,0.8313039999
SRX5694288,-1.4464286567,-0.4910773156,-0.45174707410000003
SRX5694289,-4.8288676898,-0.1605013107,0.46102281510000004
SRX5694290,-0.27851650840000003,-0.4457081766,-0.39522827390000004
SRX5694291,-1.652391202,-0.5657690496000001,-1.3338308134
SRX5694292,0.0425146015,-0.0129645851,-0.43565160620000004
SRX5694293,-1.2866306884,-0.2699756884,0.038069885000000005
SRX5694294,-7.2240530353,0.139214748,-0.24636549170000002
SRX5694295,-1.988374552,-1.0064182484,-1.4046597106
SRX5694296,0.5453766904,-0.0378195053,0.0952690145
SRX5694297,-2.5698654049,-0.7699850183,1.1708920348
SRX5694298,-2.5421570734,-0.5983222528000001,-0.15364917820000001
SRX5694299,-1.2706014536999999,-0.0788764182,-0.329062373
SRX5694300,-1.9897081152,0.1571077622,0.6446787887000001
SRX5694301,-1.2143415604,0.0026593751,-0.499017776
SRX5694302,-1.9657805604,-0.1895165987,-0.4983299264
SRX5694303,-1.6286113242,-0.0914431154,-0.9284528158
SRX5694304,0.2124142856,0.0211183045,0.4696265652
SRX5694305,-3.6454880472999998,-0.1386738842,0.8807592262
SRX5694306,-4.9958577253000005,0.38087032870000004,-3.003918591
SRX5694307,-3.8313685512999998,-1.0385986195,2.0280958555
SRX5694308,-0.7742832237,-0.34293042830000003,0.1282549919
SRX5694309,3.8342143624,-1.3940862034000001,1.4273784088
SRX5694310,-6.0198235589,-0.1138610196,0.3338719368
SRX5694311,2.8961665541,-1.2410966374,0.5479911068000001
SRX5694312,-4.525568354,0.2088463545,-1.8298625141
SRX5694313,-2.5350139291,0.0064241946000000005,-1.2640210537
SRX5694315,-3.7681373125,-0.37709018990000004,-0.21223886720000001
SRX5694317,-0.6840764348,0.6017321859,0.33937007880000003
SRX5694319,-0.11806106890000001,-0.6170299069,-0.2648527613
SRX5694320,-1.9142374085,-0.6903743882000001,-1.6065648687
SRX5694321,-6.6558787059,-0.0542605311,0.7920205793
SRX5694322,-6.8985143576,0.5402471191,1.4962296247
SRX5694323,-5.8462860268,0.3040365601,0.8860898538
SRX5694324,-5.658179189,0.5055827363000001,1.1582991603
SRX5694325,-4.5094775744,-0.0160126656,1.0332693507
SRX5694326,-3.5888616571,-0.1464043041,-0.5443186423
SRX5694327,-4.8445974566,0.030627857100000003,0.2748227025
SRX5694328,-1.8936946882,-0.3171028179,-0.4196697263
