,A,FliA
R2,,0.06227447662819641
xmin,,-9.6582550968
xmid,,0.1920210102636989
xmax,,9.0503325143
ystart,,0.6279034897713538
yend,,3.4509870541401964
aat__00m_00s__1,0.1954728474,-0.26293615940000004
aat__00m_30s__1,-0.225555896,-0.4144706946
aat__01m_00s__1,0.1956274778,-0.2640511063
aat__02m_00s__1,-0.19503232680000002,-0.11541768740000001
aat__05m_00s__1,-0.6834040237,-0.2529709717
aat__10m_00s__1,-0.398978751,-0.5877829253
aat__00m_00s__2,-1.2105625087,-0.3281306765
aat__00m_30s__2,1.5159476399,-0.0677967758
aat__01m_00s__2,0.32188342940000003,-0.2778869359
aat__02m_00s__2,-0.6225073172000001,-0.25121854320000003
aat__05m_00s__2,-0.7372726715,-0.2949256203
aat__10m_00s__2,0.047164647000000004,-0.791700834
aat__00m_00s__3,1.0150896613,0.591066836
aat__00m_30s__3,-0.4177039596,0.6375494104
aat__01m_00s__3,-0.2040586436,0.4736079131
aat__02m_00s__3,-0.3849153661,0.7875777803
aat__05m_00s__3,-0.1722557822,0.606444737
aat__10m_00s__3,-0.2116883846,0.2257627463
abx_mega__dmso-2__1,-3.167160783,0.8577902799
abx_mega__ery_dmso__1,-0.713549894,-0.6727015686000001
abx_mega__nal_naoh__1,0.4239865613,0.15071211340000001
abx_mega__dmso-5__1,-0.4049112566,0.4007097027
abx_mega__rif_dmso__1,-0.6304487594,-1.2171742947
abx_mega__novo_h2o__1,4.2548670202,-1.0658265789
abx_mega__rach_dmso__1,-0.6280312027,-0.1884535988
abx_mega__metro_dmso__1,-2.7186992408,0.4250773084
abx_mega__dmso-6__1,-2.6076238631,0.4721224163
abx_mega__chl_h2o__1,0.2188967426,-1.8436716191
abx_mega__cst_h2o__1,-0.4159380212,-0.35035676520000003
abx_mega__tec_h2o__1,1.354533862,-0.9679102512000001
abx_mega__str_h2o__1,-0.4254754871,1.1506966283
abx_mega__ctx_h2o__1,-0.5660190962,0.0487218393
abx_mega__nal_naoh__2,-0.4477172459,-0.4570446937
abx_mega__phos_h2o__1,-0.1134270518,-0.24761762750000002
abx_mega__dmso-5__2,-0.8052259201,0.4191833486
abx_mega__polmyx_h2o__1,-0.5529979112,0.3704653451
abx_mega__h2o-8b__1,-0.8105165438,-0.28276802900000003
abx_mega__h2o-6__1,-1.5904532637000002,0.1158069327
abx_mega__thio_dmso__1,0.7039955545000001,-0.6151076583
abx_mega__phos_h2o__2,-0.36365802880000003,-0.1972059459
abx_mega__ctx_h2o__2,-0.1288511315,0.2806411411
abx_mega__lzd_dmso__1,0.4094403493,-0.8346252079
abx_mega__naoh-9__1,-1.5702748095999999,-0.269312312
abx_mega__dox_dmso__1,-0.46808594270000004,-0.2498907938
abx_mega__phos_ethanol__1,-0.9386405469,-0.1742045578
abx_mega__teix_dmso__1,-0.766081526,-0.0677906741
abx_mega__dmso-10__1,-1.4374174489,-0.17924831630000002
abx_mega__van_dmso__1,4.1199536403,-1.7598383144
abx_mega__ramo_h2o__1,-0.0771945153,-0.3187245909
abx_mega__tec_h2o__2,-0.1947554705,-1.7986685541
abx_mega__h2o-7__1,-0.2667407799,-0.32665428220000003
abx_mega__cro_h2o__1,0.1543328351,-0.0934851812
abx_mega__tric_ethanol__1,-1.1146776021,-0.5851052979
abx_mega__nor_naoh__1,-0.40914641890000003,-0.45942361
abx_mega__teix_dmso__2,-0.24546508790000002,0.3900238629
abx_mega__nal_naoh__3,-0.4404969657,-0.4551209232
abx_mega__novo_h2o__2,4.190936805,-1.1620360634
abx_mega__dmso-10__2,-1.3447561614,-0.0485946265
abx_mega__phos_h2o__3,-1.0822420266,0.059023092400000005
abx_mega__dmso-6__2,-1.4837046155,0.1537823464
abx_mega__rfp_ethanol__1,-0.3973637625,-2.5492566692
abx_mega__dmso-5__3,-1.564183461,0.3411628672
abx_mega__amyc-d_dmso__1,1.9607529535000001,-1.7929999849
abx_mega__sxt_dmso__1,-0.9362663848,-0.6089065484
abx_mega__dmso-1__1,0.5224403586,-0.025376058400000002
abx_mega__pen_h2o__1,1.8224336207,-0.3684605621
abx_mega__dmso-10__3,-1.5583257513,0.08795852950000001
abx_mega__nal_naoh__4,-0.36949412070000004,-0.751672824
abx_mega__cip_naoh__1,-0.1988336081,-0.4887488204
abx_mega__pen_h2o__2,1.0944731022,-0.45886270240000004
abx_mega__ery_dmso__2,-0.6187040623,-0.8225121445
abx_mega__dmso-2__2,-0.493196405,0.7708108354000001
abx_mega__van_dmso__2,2.752839195,-2.1515099699
abx_mega__h2o-1b__1,0.6770472741,-0.5224455469
abx_mega__ery_h2o__1,1.2735205512,-0.9881606761
abx_mega__bacit_h2o__1,0.942775503,-0.48063524560000004
abx_mega__chl_h2o__2,0.5117507888,-1.7059093539
abx_mega__str_h2o__2,-0.5508398891,1.0645578923
abx_mega__rfp_ethanol__2,0.12302139020000001,-1.9108552943000001
abx_mega__polmyx_h2o__2,0.3315577933,-0.24666300530000002
abx_mega__tric_h2o__1,-2.2251609077,-0.9753535091000001
abx_mega__cip_naoh__2,-0.5656877684,-0.1178134866
abx_mega__novo_h2o__3,4.0805872861,-1.2661485229
abx_mega__bacit_dmso__1,-0.9357236308,0.2156425177
abx_mega__gen_h2o__1,1.0885624848,0.1146415615
abx_mega__bacit_dmso__2,-0.9116669109000001,0.1270916986
abx_mega__chl_dmso__1,0.9868143392000001,-0.9555936242
abx_mega__bacit_h2o__2,0.8156642785,-0.4016151999
abx_mega__lvx_dmso__1,-0.1932452658,-0.35910051470000004
abx_mega__bacit_h2o__3,0.1813093567,-0.5410438885000001
abx_mega__nor_naoh__2,-0.6601292209,-0.1954036761
abx_mega__amyc-d_dmso__2,-1.0759146741,-0.26354343480000003
abx_mega__polmyx_h2o__3,-2.3918232172,1.1062811235
abx_mega__naoh-6__1,-1.4698071277,0.0605181692
abx_mega__cst_h2o__2,-0.9989005836,0.007552271300000001
abx_mega__h2o-1b__2,-0.47568392460000003,-0.0382338918
abx_mega__rfp_h2o__1,-1.9501667542,-2.3958391062
abx_mega__tet_h2o__1,2.0693031288,-0.8175330681
abx_mega__flavo_dmso__1,0.5813269012,-0.6871936241000001
abx_mega__zeocin_h2o__1,-0.963936008,0.2950017157
abx_mega__nor_naoh__3,-0.32291447570000004,-0.4129598815
abx_mega__rach_dmso__2,-0.5394640142,-0.0690578645
abx_mega__thio_dmso__2,0.2825816838,-0.2315335127
abx_mega__amyc-d_dmso__3,1.0532916754,-1.6899454962
abx_mega__rif_dmso__2,-2.7946700487,-0.5916136289
abx_mega__amyc-d_dmso__4,-0.5906003797,-0.1196393592
abx_mega__teix_dmso__3,-0.2625134065,-0.1714468552
abx_mega__valin_dmso__1,-1.4562537779,-0.3742283402
abx_mega__teix_dmso__4,-0.4420343396,0.28635012390000003
abx_mega__ethanol-10__1,-0.7147398162,-0.2857767814
abx_mega__inh_h2o__1,0.0061063163,-0.2780527823
abx_mega__rif_dmso__3,0.2209933593,-2.5941208961
abx_mega__van_dmso__3,1.1868669993,-0.9316664832
abx_mega__doxo_dmso__1,0.6233152544,-2.0459594549
abx_mega__tmp_dmso__1,-0.5736611929000001,-0.6116492553
abx_mega__ethanol-10__2,-0.47619625400000004,-0.3027884272
abx_mega__tmp_dmso__2,-0.042862244300000005,-0.6349310469
abx_mega__amyc-d_dmso__5,2.8629608686,-2.6540903003
abx_mega__novo_h2o__4,2.1356156663,-1.3577344775
abx_mega__cro_h2o__2,-0.33442149530000004,-0.07926965450000001
abx_mega__cro_h2o__3,0.3219403057,0.074499141
abx_mega__gen_h2o__2,3.0563686413,-0.1387692707
abx_mega__phos_h2o__4,-0.7897887698,0.9800314251000001
abx_mega__metro_dmso__2,-1.7173584538000002,0.2859484733
abx_mega__ery_h2o__2,1.4765817377000001,-1.2699213263
abx_mega__sacet_h2o__1,-2.3753316774,-3.3205853225
abx_mega__nal_naoh__5,-0.1801741073,-0.5556292860000001
abx_mega__bacit_h2o__4,0.7467420336,-0.5712307398
abx_mega__cip_naoh__3,0.32302565050000004,-0.7668052196
abx_mega__ethanol-8__1,0.0196097502,-1.068834175
abx_mega__h2o-8a__1,-0.7333840111000001,-0.29241204860000003
abx_mega__ery_h2o__3,1.5854375149000002,-0.7031819579
abx_mega__flavo_dmso__2,-0.2050139568,0.034183556000000004
abx_mega__rif_dmso__4,-0.7819746352,-2.3323221647
abx_mega__novo_h2o__5,5.5206096993,-1.5407592826
abx_mega__teix_dmso__5,-0.797468289,-0.1434569764
abx_mega__naoh-2__1,-0.6480519490000001,0.19514459080000002
abx_mega__novo_h2o__6,4.1244311263,-1.6199889169000001
abx_mega__ctx_h2o__3,0.45972891520000003,0.37007429070000003
abx_mega__rach_dmso__3,-0.2583258698,0.1254091287
abx_mega__valin_dmso__2,-2.1434997822,-0.3061707221
abx_mega__amyc-d_dmso__6,1.749397998,-1.3888968435
abx_mega__dox_dmso__2,-0.8087132849,0.3562837407
abx_mega__teix_dmso__6,-0.0360479363,-0.3789219586
abx_mega__naoh-6__2,-1.7816724793,0.1389876366
abx_mega__inh_h2o__2,0.7027023271,-2.7736681778000003
abx_mega__chl_h2o__3,0.967010052,-2.47140517
abx_mega__nal_naoh__6,-0.19662242940000002,-0.5057374936
abx_mega__chl_dmso__2,0.9185630611000001,-1.1131863219
abx_mega__rach_dmso__4,-0.8566360588,-0.21658230450000002
abx_mega__teix_dmso__7,-1.2163933532,-0.376043141
abx_mega__ceru_ethanol__1,-1.896793818,-1.2123358457
abx_mega__dmso-7__1,-1.5751866126,-0.0483248973
abx_mega__naoh-6__3,-1.541032515,0.0941031653
abx_mega__phos_ethanol__2,-1.4121412451,-0.045606220600000004
abx_mega__metro_dmso__3,-1.8312139194000001,0.2348670505
abx_mega__van_dmso__4,2.373046978,-0.8583855375
abx_mega__h2o-10__1,0.0509123073,-0.029946539
abx_mega__h2o-10__2,-0.28331604990000003,0.0461500823
abx_mega__dmso-6__3,-1.1572944982,0.3263974995
abx_mega__mem_dmso__1,0.1965381936,-0.2756770555
abx_mega__ethanol-8__2,-0.22321799890000002,-1.1011109346
abx_mega__chl_h2o__4,0.9752969595000001,-2.4066608132000002
abx_mega__van_h2o__1,2.269147174,-0.9440927506000001
abx_mega__dcs_h2o__1,-1.6961722816,-0.2024137218
abx_mega__rif_dmso__5,-1.6109150685,-0.8303133961
abx_mega__dox_dmso__3,-0.967352372,0.077741742
abx_mega__mem_dmso__2,0.5010276356,-0.4259384074
abx_mega__lvx_dmso__2,-0.5761377598,-0.1052073122
abx_mega__tet_h2o__2,-2.0397620792,-1.7979078133000002
abx_mega__phos_h2o__5,-0.6005242514,0.9297304533
abx_mega__monac_dmso__1,0.19506858500000002,-1.5466409064
abx_mega__str_h2o__3,0.2996853746,0.021075109800000002
abx_mega__zeocin_h2o__2,-3.5578130762,0.3425248965
abx_mega__amyc-d_dmso__7,2.6062121393,-1.7582333715
abx_mega__fidax_dmso__1,-1.320050084,-0.6596446322
abx_mega__h2o-1a__1,0.2168742032,-0.06820312070000001
abx_mega__dox_dmso__4,-1.0230218308,0.1722704759
abx_mega__lzd_dmso__2,0.2533210973,-0.3921263672
abx_mega__tet_h2o__3,1.6418323537,-0.6903474069000001
abx_mega__dmso-1__2,0.3798001579,-0.24089816960000002
abx_mega__sxt_dmso__2,-1.001916849,-0.4074361704
abx_mega__tric_ethanol__2,-0.8325620058000001,-1.2102177046
abx_mega__teix_dmso__8,0.9731300093,-0.5698754391
abx_mega__ramo_h2o__2,0.36590580110000004,-0.38256405530000004
abx_mega__inh_h2o__3,0.1477494841,0.0633853868
abx_mega__cst_h2o__3,-0.7026302707000001,-0.2476580559
abx_mega__dmso-9__1,-0.8483006045,-0.241076064
